id,name,text,trans 利兹
35,カタリナ/卡塔莉娜,い、急ぐとは？<br>どこへ行くつもりなんだ？,快、快一点？<br>打算要去哪里吗？
36,レ・フィーエ/蕾・芬耶,向こうの屋台が見えますこと？<br>あの屋台では、一日１００個限定の<br>絶品焼きトウモロコシが売ってますの。,看到那边的小摊了吗？<br>那个小摊在卖一天限定100个<br>的绝妙的烤玉米哦。
37,レ・フィーエ/蕾・芬耶,<span class='scene-font-place'>ユディスティラ島</span>に来て、<br>あれを食べずに帰るわけには<br>まいりませんわ……！,来到<span class='scene-font-place'>优蒂斯提拉岛</span>、<br>绝对不能<br>吃不到那个就回去……！
38,ルリア/露莉亚,じゅるり……<br>確かに美味しそうな匂いが……,じゅるり……<br>确实闻着好香啊……
39,レ・フィーエ/蕾・芬耶,ああ、それに島を回る遊覧船の<br>予約もしておかないといけませんわね！,对了、还有环绕岛一周的游览船<br>也要提前预约上！
40,レ・フィーエ/蕾・芬耶,あ！　もちろん日暮れまでには、<br>絶景が見えると評判の丘に……,啊！　还有被称为一到黄昏、<br>就能看到绝美风景的山丘也……
41,カタリナ/卡塔莉娜,そ、そんなに慌てる必要は<br>ないんじゃないか？<br>数日は滞在するだろうし……,没、没必要那么<br>慌张吧？<br>我们会在这里停留好几天的……
42,レ・フィーエ/蕾・芬耶,っ！　そっ……そうですわね……<br>私ったら……恥ずかしいですわ。,啊！　是……是的呢……<br>我真是的……好丢人啊。
43,ルリア/露莉亚,レ・フィーエさんは<br>この島にとっても詳しいんですね！<br>もしかして前にも来たことが……,蕾·芬耶<br>对这个岛真的是好熟悉呢！<br>难不成以前来过吗……
44,レ・フィーエ/蕾・芬耶,ないですわよ……一度も。,没有哦……一次也没来过。
45,ルリア/露莉亚,えっ？<br>それじゃ、<br>どうしてこんなに……,欸？<br>那为什么、<br>会这么熟悉啊……
46,レ・フィーエ/蕾・芬耶,あ、憧れてたんですの……<br>この<span class='scene-font-place'>ユディスティラ島</span>に……,特、特别憧憬着来……<br>这个<span class='scene-font-place'>优蒂斯提拉岛</span>而已……
47,レ・フィーエ/蕾・芬耶,ずいぶん前にあの子から<br>この島のことを聞いて、<br>行ってみたいな、って思って……,很久以前从那孩子<br>那里听到关于这个岛的事之后、<br>就一直想着、好想来一次……
48,レ・フィーエ/蕾・芬耶,<span class='scene-font-place'>宝石境</span>に居た頃からずっと、<br>情報を集めてたんですの。<br>でも問題があって、行けずじまいで……,从住在<span class='scene-font-place'>宝石境</span>的时候就一直、<br>收集着相关的情报。<br>但是遇到了一些问题、一直没能去成……
49,ビィ/碧,問題？<br>なかなか休みが取れなかったとか、<br>そーいうのか？,问题？<br>是比如像、<br>怎么都没有时间去度假这样吗？
50,レ・フィーエ/蕾・芬耶,それもありましたわ……<br>だけど一番の問題は休みじゃなくて……,也有那种情况……<br>但是最大的问题不是没时间度假这种……
51,レ・フィーエ/蕾・芬耶,旅費が……結構かかりますの。<br><span class='scene-font-place'>宝石境</span>から<span class='scene-font-place'>ユディスティラ島</span>は。,旅费开销还挺大的。<br>从<span class='scene-font-place'>宝石境</span>到<span class='scene-font-place'>优蒂斯提拉岛</span>。
52,カタリナ/卡塔莉娜,旅費、か……<br>確かに君の故郷とこの島は<br>かなり離れているようだが……,旅費吗……<br>确实你的故乡<br>和这里离得挺远的……
53,レ・フィーエ/蕾・芬耶,お、王族だって、<br>湯水のようにお金を使えるわけじゃ<br>ありませんのよ！？,即、即使是王族、<br>也不能像撒热水一样<br>随便乱花钱的哦！？
54,レ・フィーエ/蕾・芬耶,むしろ、<br>国の代表だからこそ、<br>質素に振る舞うべきというか……,不如说、<br>正因为是一国的代表、<br>才更应该做事朴素什么的……
55,レ・フィーエ/蕾・芬耶,はぁ……<br>まぁ、どう言ったところで、<br>私が貧乏性なのは事実ですわ……,はぁ……<br>算了、不管怎么说<br>我是个穷人……
56,レ・フィーエ/蕾・芬耶,姬塔も<br>こんなせせこましい考え方は、<br>王族らしくないと思いますわよね……,姬塔也觉得<br>这样狭隘的想法、<br>不像是个王族吧……
56-sel1_txt,,<span class='scene-font-katari'>そんなことない</span>,<span class='scene-font-katari'>没有这回事哦</span>
56-sel2_txt,,<span class='scene-font-katari'>むしろふさわしい</span>,<span class='scene-font-katari'>不如说很恰当呢</span>
57,レ・フィーエ/蕾・芬耶,ふふ……ありがとう。<br>姬塔は、<br>優しいんですのね……,哼……谢谢你。<br>姬塔总是、<br>特别温柔呢……
58,レ・フィーエ/蕾・芬耶,ありがとう……<br>実は私も、<br>ちょっぴりそう思ってますの。,谢谢你们……<br>实际上我、<br>也有点那么觉得。
59,レ・フィーエ/蕾・芬耶,ふふ……<br>姬塔とは、<br>感覚が合いそうですわね。,哼……<br>我和姬塔、<br>感觉会很合得来呢。
60,カタリナ/卡塔莉娜,ともかく……念願叶って、<br>この島に来ることが出来たんだ。<br>心行くまで楽しもうじゃないか。,总之、实现了愿望、<br>也来到了这个岛。<br>就让我们尽情享受吧。
61,レ・フィーエ/蕾・芬耶,そうですわね……<br>こんなところで<br>落ち込んでる場合じゃありませんわ！,是啊……<br>不是在这种地方<br>垂头丧气的时候！
62,ルリア/露莉亚,そうですっ！<br>みんなでこの島を、<br>遊び倒しちゃいましょう！,就是！<br>大家一起、<br>游遍全岛吧！
63,ビィ/碧,よっしゃ！<br>バカンスとはいえ、<br>気合入れてこーぜ！　姬塔！,好！<br>即使是度假、<br>也全力十足！　姬塔！
64,,<span class='scene-font-katari'>それからというもの一行は、</span><br><span class='scene-font-katari'>レ・フィーエと共に心行くまで</span><br><span class='scene-font-katari'>バカンスを楽しんだのだった。</span>,<span class='scene-font-katari'>接下来、</span><br>一行人和<span class='scene-font-katari'>蕾·芬耶</span>一起<br>尽情享受了<span class='scene-font-katari'>假期。</span>
info,,,scene_fate_chr067_ep1
