detail,trans
エナジーガスト(風土)：味方全体に活性効果　◆魔法陣：風を1つ消費して高揚効果追加,能量突风（风土）：我方全员获得活性效果　◆魔法陣：消费一层风追加高扬效果
エレメンタルブレイク(土火)：敵に自属性防御DOWN,元素破坏（土火）：敌方自身属性防御DOWN
オーバードライブを抑制する状態,处于暴走被抑制的状态
オーバードライブゲージを減少させる量が向上した状態,暴走值减少量上升
オーバードライブ状態の敵への攻撃力が上昇し、オーバードライブゲージを減少させる量が向上した状態,对暴走的敌人攻击力上升，暴走值减少量上升
クリアソル(土水)：味方全体の弱体効果を1つ回復/弱体成功率UP,灵魂净化（土水）：我方全员清除一种弱体效果/弱体成功率UP
グレアのアビリティとサポートアビリティの効果を受けられる状態(消去不可),获得格蕾雅的技能与支援技能的效果（不可驱散）
グロリアス・アーツにより武器の性能を引き上げた状態。攻撃や被ダメージによる防御効果、剣神共鳴で消費する。(消去不可),
コンパニオンの動力。コンパニオン稼働中は毎ターン消費し、足りない場合は稼働停止する。,
サンダーソード(火風)：敵に光属性ダメージ/自分に魔法陣：光を1つ付与　◆魔法陣：光を2つ消費して、魔法陣付与の代わりに味方全体の光属性攻撃UP/幻影効果(2回),雷霆之剑（火风）：对敌光属性攻击/自身获得一层光属性魔法阵　◆魔法阵：消费两层光，自身不会获得魔法阵，相对应的，我方全员光属性攻击力UP/获得两层幻影效果
タフガイ状態中、攻撃時に追加でダメージが発生する状態,硬汉状态中，攻击将附带追加伤害
ターン終了時に奥義ゲージ100%UP,回合结束时奥义值100%UP
ターン終了時に攻撃性能UP(累積)が発動する状態,回合结束时攻击性能上升（累积）
ターン終了時に防御性能UP(累積)が発動する状態,回合结束时防御性能上升（累积）
ターン進行時に攻撃行動を2回行う状態,回合间攻击两次
ターン進行時に攻撃行動を2回行う状態（消去不可）,回合间攻击两次（不可驱散）
ターン進行時に攻撃行動を3回行う状態,回合间攻击三次
ダメージを受けた際に相手に攻撃する状態,受到伤害时攻击攻击者
ダークソード(水土)：敵に闇属性ダメージ/自分に魔法陣：闇を1つ付与　◆魔法陣：闇を2つ消費して、魔法陣付与の代わりに味方全体の闇属性攻撃UP/奥義性能UP(1回),黑暗之剑（水土）：对敌暗属性攻击/自身获得一层暗属性魔法阵　◆魔法阵：消费两层暗，自身不会获得魔法阵，相对应的，我方全员暗属性攻击力UP/奥义性能UP（一层）
チェインバーストのダメージが上昇した状態,奥义连击伤害上升
チェインバーストダメージ上限が上昇した状態,奥义连击伤害上限上升
ハイドラフト(風水)：敵に自分の不利属性攻撃DOWN,水力旋流（风水）：敌方自身不利属性攻击力DOWN
ヒートウィンド(風火)：味方全体の奥義ゲージ上昇量UP/敵が特殊技を使用時に味方全体のトリプルアタック確率UP,暖流（风火）：我方全员奥义值上升量UP/地方使用特殊技能时我方全员三连攻击机率UP
ファイアソード(火火)：敵に火属性ダメージ/自分に魔法陣：火を1つ付与　◆魔法陣：火を2つ消費して、魔法陣付与の代わりに味方全体の火属性攻撃UP/ガード効果,烈焰之剑（火火）：对敌火属性攻击/自身获得一层火属性魔法阵　◆魔法阵：消费两层火，自身不会获得魔法阵，相对应的，我方全员火属性攻击力UP/获得格挡效果
フリーズバインド(水火)：敵に水属性ダメージ　◆魔法陣：水を1つ消費して氷牢効果追加,霜冻束缚（水火）：对敌水属性攻击　◆魔法阵：消费一层水，追加水牢效果
フレアセイバー(火水)：自分が即座に奥義発動可能　◆魔法陣：火を1つ消費して味方全体にクリティカル確率UP追加,烈焰剑士（火水）：自身奥义马上可以发动　◆魔法阵：消费一层火，我方全员追加暴击率UP效果
ブラックサンド(土風)：敵に土属性ダメージ　◆魔法陣：土を1つ消費して命中率DOWN追加,黑沙（土风）：对敌土属性攻击　◆魔法阵：消费一层土，追加命中率DOWN效果
ブレイク状態の敵への攻撃力が上昇した状態,对Break状态的敌人攻击力上升
ラーヴァシールド(火土)：参戦者の弱体耐性UP,熔岩之盾（火土）：参战者弱体耐性UP
ルナーメアの効果が上昇した状態,
一度に与えるアビリティダメージが一定以上に達した時、さらに大きなダメージを与えられるようになった状態,一次技能攻击所造成的伤害值达到一定量时，会受到更大量的伤害
一度に与えるアビリティダメージが一定以上に達した時、さらに大きなダメージを与えられるようになった状態(累積),一次技能攻击所造成的伤害值达到一定量时，会受到更大量的伤害（累积）
一度に与えるダメージが一定以上に達した時、さらに大きなダメージを与えられるようになった状態,一次攻击所造成的伤害值达到一定量时，会受到更大量的伤害
与えるダメージが上昇している状態,造成的伤害值上升
予告効果が付与された状態,被赋予预告效果的状态
光属性の力を込めた魔法陣(最大2/消去不可),被注入有光属性力量的魔法阵（最大2层/不可驱散）
光属性ダメージを軽減する状態,光属性伤害值减少
光属性攻撃力が上昇した状態,光属性攻击力上升
剣神解放により武器の性能を引き上げた状態。攻撃や被ダメージによる防御効果、剣神共鳴で消費する。(消去不可),通过剑神解放使武器性能得到提升。攻击及被攻击时获得防御效果，消费剑神共鸣。
効果中、ターン終了後に対星炸裂徹甲弾を掃射する状態(消去不可),效果中在回合结束后扫射对星炸裂卸甲弹（不可驱散）
効果中の被ダメージと弱体効果を一定確率で無効化する状態,效果中一定机率使受到的伤害与弱体效果无效化
効果中の被ダメージと弱体効果を無効化する状態,效果中使受到的伤害与弱体效果无效化
千鳥(龍闘)：敵の連続攻撃確率DOWN,千鸟（龙斗）：敌方连续攻击机率DOWN
呪縛(気龍)：敵に闇属性ダメージ/忍の印を付与　◆忍の印が2つ付与されている敵に暗闇効果,呪缚（气龙）：对敌暗属性攻击/付予忍之印　◆为被付予两层忍之印的敌人付予黑暗效果
哀車(龍気)：敵のモードゲージを減少,哀车（龙气）：敌人的模式条减少
回復アビリティの回復上限が上昇した状態(累積),回复技能的回复上限上升
回復アビリティの回復量が上昇した状態(累積),回复技能的回复量上升
回避に成功すると奥義ゲージが上昇する状態,回避成功时奥义值上升
回避に成功すると敵全体を暗闇状態にする状態,回避成功时给敌方全员付予黑暗状态
土属性の力を込めた魔法陣(最大2/消去不可),被注入有土属性力量的魔法阵（最大2层/不可驱散）
土属性攻撃力が上昇した状態,土属性攻击力上升
土遁(虎虎)：敵に土属性ダメージ/土の印を付与　◆土の印が2つ付与されている敵にスロウ効果,土遁（虎虎）：对敌土属性攻击/付予土之印　◆为被付予两层土之印的敌人付予降速效果
夜煙の標的状態の敵への攻撃力が上昇した状態,对夜烟之标状态的敌人攻击力上升
奥義ゲージの累積上昇量に応じて強化効果を得る状態,根据奥义值累计上升量获得强化效果
奥義ゲージ上昇量が増加した状態,奥义值上升量增加
奥義ダメージが上昇した状態,奥义伤害上升
奥義ダメージが上昇した状態(1回),奥义伤害上升（一层）
奥義ダメージが上昇した状態(累積),奥义伤害上升（累积）
奥義ダメージが上昇した状態(累積/消去不可),奥义伤害上升（累积/不可驱散）
奥義ダメージの上限が上昇した状態,奥义伤害上限上升
奥義ダメージ上限が上昇した状態(消去不可),奥义伤害上限上升（不可驱散）
始計(闘気)：自分のクリティカル確率UP,始计（斗气）：自身暴击率UP
弱体効果を1回無効化する状態,使弱体效果无效化一次
弱体成功率が上昇した状態,弱体成功率上升
弱体耐性が上昇した状態,弱体耐性上升
弱点を突いた際に稀にダメージが上昇する状態,被攻击弱点时低概率攻击力上升
弱点を突いた際に稀にダメージが上昇する状態(消去不可),被攻击弱点时低概率攻击力上升（不可驱散）
推理に集中して攻撃とアビリティ使用を行えない状態,集中于推理而不能攻击或使用技能的状态
攻撃のターゲットになりやすい状態,容易成为被攻击的目标的状态
攻撃を中断して敵の攻撃を見切り、反撃する状態(消去不可),中断攻击并看破敌人的攻击且予以反击的状态（不可驱散）
攻撃力が上昇した状態,攻击力上升
攻撃力が上昇した状態(消去不可),攻击力上升（不可驱散）
攻撃力が上昇した状態(累積),攻击力上升（累积）
攻撃力が上昇した状態(累積/消去不可),攻击力上升（累积/不可驱散）
敵の攻撃を味方の代わりに受ける状態(全体攻撃は不可),代替同伴承受敌人的攻击的状态（全体攻击无效）
敵の攻撃を女性キャラの代わりに受ける状態(全体攻撃は不可),代替女性角色承受攻击的状态（全体攻击无效）
敵全員に通常攻撃を行う状態,对敌方全员发动通常攻击的状态
時間経過で敵味方の弱体耐性と敵の特殊技の威力が変化する状態,随着时间的流逝，敌我方的弱体耐性与敌方特殊技能的威力将发生变化
次に受ける単体攻撃を無効化する状態(全体攻撃で効果消滅),使下一次受到的单体攻击无效化（收到全体攻击时失去该效果）
次に受ける攻撃を一定量無効化する状態,无效化一定量的下一次受到攻击的伤害值
次に受ける被ダメージを無効化する状態,使下一次受到的伤害无效化
毎ターンHPが回復する状態,每回合回复HP的状态
毎ターンHPが回復する状態。HPが回復しないときは奥義ゲージが上昇する。,每回合回复HP的状态，当无法回复HP时奥义值上升
毎ターンテンションが上昇する状態(被ダメージで解除/最大でテンションLv4まで上昇し、その後は効果時間のみ延長される),每回合激情上升（受到伤害时解除/最大提升到Lv4，之后将延长效果时间）
毎ターン奥義ゲージが上昇する状態,每回合奥义值上升
毎ターン奥義ゲージが上昇する状態(消去不可),每回合奥义值上升（不可驱散）
毒・灼熱・腐敗などのターンダメージを回復に変換する,每回合受到毒・灼热・腐败一类的伤害值将变换为回复值
毒遁(気虎)：敵全体に自属性ダメージ/毒効果,毒遁（气虎）：对敌方全员自属性伤害/毒效果
水属性の力を込めた魔法陣(最大2/消去不可),被注入有水属性力量的魔法阵（最大2层/不可驱散）
水属性攻撃力が上昇した状態,水属性攻击力上升
水遁(気気)：敵に水属性ダメージ/水の印を付与　◆水の印が2つ付与されている敵に防御力DOWN,水遁（气气）：对敌水属性伤害/付予水之印　◆为被付予两层水之印的敌人付予防御力DOWN效果
活殺(虎気)：自分のHPを回復/弱体効果を全て回復　◆奥義ゲージを50％消費,活杀（虎气）：自身HP回复/驱散所有弱体效果　◆消废50%奥义值
火・水・土・風属性攻撃で弱点を突いた際にダメージが上昇する状態,被火・水・土・风四种属性中任一攻击弱点时伤害量上升
火属性の力を込めた魔法陣(最大2/消去不可),被注入有火属性力量的魔法阵（最大2层/不可驱散）
火属性ダメージを軽減する状態,抵消一部分火属性攻击
火属性攻撃力が上昇した状態,火属性攻击力上升
火遁(闘闘)：敵に火属性ダメージ/火の印を付与　◆火の印が2つ付与されている敵に攻撃力DOWN,
狸退(龍虎)：自分の敵対心DOWN,
確率で被ダメージを減少する状態,
空蝉(気闘)：敵の全ての攻撃を回避,
縮地(闘虎)：自分のトリプルアタック確率UP,
自分のHPが多いほど攻撃力が大きく上昇する状態,
自分のHPが少なくなるほど攻撃力が大きく上昇する状態,
自分より後に行動するメンバーが自分と同じ攻撃行動を行う状態,
自身の回復に対する回復上限が上昇した状態,
致死ダメージでもHP1で耐える状態,
英霊の力を増幅させ、アビリティが強化された状態,
虎眼(虎闘)：自分が暗闇状態の時に攻撃UP,
蛍火(虎龍)：味方全体の弱体効果を1つ回復,
被ダメージの一部を吸収してHPを回復する状態,
被ダメージまで連続攻撃確率が上昇した状態,
被ダメージを25%カットする状態,
被ダメージを50%カットする状態,
被ダメージを60%カットする状態,
被ダメージを70%カットする状態,
被ダメージをカットして反射する状態,
被ダメージ時に剣気消費効果が発動しない状態(消去不可),
通常攻撃で1消費する。(5ターン毎に回復),
通常攻撃とアビリティで消費する(消去不可),
通常攻撃の与ダメージの一部を自身のHPに吸収する状態(消去不可),
通常攻撃を無効化して相手に攻撃する状態,
通常攻撃を無効化または、ダメージを受けた際に相手に攻撃する状態,
通常攻撃時に光属性の追加ダメージが発生する状態,
通常攻撃時に土属性の追加ダメージが発生する状態,
通常攻撃時に水属性の追加ダメージが発生する状態,
通常攻撃時に確率で敵の防御DOWN(累積)が発動する状態,
通常攻撃時に確率で自分の攻撃UP(累積)が発動する状態,
通常攻撃時に追加ダメージが発生する状態,
通常攻撃時に風属性の追加ダメージが発生する状態,
通常攻撃時の剣気消費効果の発動率が上昇した状態,
連続攻撃確率、敵対心が上昇し、防御力が減少した状態,
闇属性の力を込めた魔法陣(最大2/消去不可),
闇属性の特性を得る,
闇属性の被ダメージを75%カットする状態,
闇属性攻撃力が上昇した状態,
防御力が上昇した状態,
防御力が上昇した状態(消去不可),
雷迅(闘龍)：敵に光属性ダメージ/雷の印を付与　◆雷の印が2つ付与されている敵に麻痺効果,
風属性の力を込めた魔法陣(最大2/消去不可),
風属性攻撃力が上昇した状態,
風遁(龍龍)：敵に風属性ダメージ/風の印を付与　◆風の印が2つ付与されている敵にダブルアタック確率DOWN,
魔力が増幅した状態,
魔神モラクスを召喚し、攻防UP/必ず連続攻撃/通常攻撃が全体化/毎ターンダメージを受ける状態,
魔神モラクス解除時に経過ターンに応じてダメージを与える,
