id,name,detail,vyrn
20004-2,星霜巨树,在鲁玛西群岛，<br>经历了数百年岁月的巨树，<br>被称为星霜巨树。<br>由于鲁玛西群岛的树木受到强大的守护，<br>所以无论经过多少岁月，<br>都永远不会枯萎。,这棵树，<br>想必也见证了<br>「星之民」的入侵吧！
20004-3,树上居所,在鲁玛西群岛，<br>在树上安家并不少见。<br>这是极为有效的<br>防御外敌的手段，<br>而且，从高高的树上眺望森林，<br>虽然牺牲了一些便利性，<br>但那景色被誉为值得一看的绝景。,树上的房子啊……<br>感觉像秘密基地，<br>好像很有趣！
20004-4,幽深森林入口,鲁玛西群岛的主人，<br>是茂密生长的植物们，<br>黑暗森林覆盖了群岛的大部分。<br>据说在森林的最深处，<br>沉眠着伟大的世界树和<br>不为人知的真实历史。,既有点可怕，<br>又让人感到平静……<br>这森林真是不可思议……
20005,城塞都市阿尔比昂,,
20005-1,阿尔比昂城,位于城塞都市阿尔比昂中心，<br>是构成阿尔比昂根基的城堡。<br>内有领主办公室、贵宾室<br>以及招待客人的客房等，<br>下层被用作阿尔比昂士官学校的<br>校舍。,把城堡的一部分<br>当作校舍，<br>还真是个奇特的城市啊
20005-2,阿尔比昂的绿地,虽然阿尔比昂是人工都市，<br>但有些地方也自然生长着植被。<br>这是经过漫长岁月，<br>随风飘散的种子扎根、<br>生长、繁殖的结果。,果然没有绿色<br>我就觉得<br>浑身不自在！
20005-3,阿尔比昂街道,环绕阿尔比昂城而建，<br>构成了城塞都市阿尔比昂的街道。<br>为了不懈怠于锻炼，<br>街上放养着魔物，<br>对自己实力没自信的人即使在市街，<br>也需要护卫骑士陪同。,这是个让人<br>无法放松警惕的<br>可怕城市啊……
20005-4,城塞都市阿尔比昂,由星之民建造的城塞都市，<br>如今形成了以士官学校为中心的社会。<br>标榜实力至上主义，<br>领主去世后，为决定下一任领主，<br>会在整个阿尔比昂举行武术大会，<br>优胜者将成为新的领主。,任何人都有机会<br>成为领主，<br>真是个了不起的都市啊！
20014,北方荒原 白风之境,,
20014-1,埃奥尼奥山脉,可以说是白风之境的象征。<br>其山麓广袤无垠，<br>构成了北方荒野的一个地区，<br>是法塔・格兰德空域<br>最为巨大的山脉。<br>同时，也被称为法塔・格兰德空域<br>最为严酷之地，<br>前来调查的人命丧于此的事例层出不穷。<br>,又冷又可怕，<br>真是个恐怖的地方<br>啊……<br>
20014-2,瘴气地带,隔断空域与空域的暴风之壁。<br>其出现时期可追溯到霸空战争之前，<br>甚至在星之民入侵之时就已存在。<br>瘴气地带内部，<br>弥漫着能够激活魔物、对人体极为有害的<br>超高浓度瘴气，<br>只要踏入其中，<br>短短数分钟内就会丧命。<br>,我们不就是为了<br>越过这里才展开<br>旅程的吗！<br>
20014-3,白风之境的魔物,在白风之境，即使是同类魔物，<br>也会有更加巨大的个体栖息于此。<br>有人推测是魔物为了适应严酷环境<br>而进化的结果，<br>也有人认为是受到白风之境星晶兽的影响，<br>众说纷纭，<br>但至今仍未得出明确结论。<br>,面对平常很常见的魔物，<br>光是因为体型大了<br>就紧张得不得了啊……<br>
20014-4,隐世村落的传说,作为未开发地区的白风之境，<br>流传着许多传说，<br>其中之一就是隐世村落的传说。<br>曾有一位挑战埃奥尼奥山脉的骑空士，<br>在力竭之际被一个村落救助，<br>骑空士在村中修养数日后离开。<br>但此后，<br>这位骑空士再也<br>无法找到那个村落。<br>,感觉这片雪山里，<br>藏着各种各样<br>神秘的东西啊！<br>
20011,王都阿加斯蒂亚,,
20011-1,埃尔斯特帝国府邸,位于阿加斯蒂亚几乎正中心的<br>埃尔斯特帝国行政中枢。<br>因其形状而被称为「塔」。<br>平民的出入<br>受到严格限制，<br>虽然是公共设施，<br>但大部分都笼罩在谜团之中。,盯着看了好一阵子，<br>我都差点<br>向后摔倒了
20011-2,埃尔斯特帝国军事战舰,在法塔・格兰德空域<br>随处可见的埃尔斯特帝国战舰。<br>主要负责与骑空艇作战，<br>以及运送士兵、武器、物资等。<br>在从加隆佐购买的基础上，<br>经埃尔斯特帝国<br>独自改良后投入使用，<br>其性能不可小觑。,在「星之民之岛」<br>看到这家伙时，<br>真的吓了一大跳……
20011-3,阿加斯蒂亚街道,埃尔斯特帝国皇帝的根据地，<br>在短时间内实现了飞跃式经济发展的城市。<br>阿加斯蒂亚本身<br>也被用作军事基地，<br>许多军人在街上阔步，<br>与普通市民的交流也十分频繁。,虽说是埃尔斯特的城市，<br>但住在这里的家伙，<br>其实都挺普通的
20011-4,帝都阿加斯蒂亚,埃尔斯特从君主制转为帝制时，<br>作为新首都而开始建设的<br>巨型要塞都市。<br>最新设施如同覆盖在岛屿上下，<br>很少看到大地和绿色的部分。,虽然觉得是个了不起的城市，<br>但总有种<br>透不过气的感觉……
20009,拉比岛 旧王都美佛拉修,,
20009-1,艾莉亚・赫尔姆宫殿,自古埃尔斯特王国建立以来，<br>一直作为王族居所，<br>并发挥官邸职能的宫殿。<br>其建筑风格是<br>法塔・格兰德空域最古老的样式，<br>朴素而坚固的结构，<br>即使历经数千年至今，<br>仍保持着宏伟的姿态。,想到它从<br>几千年前就屹立于此，<br>真是令人惊叹啊……
20009-2,沙漠中的树木,拉比岛虽然大部分<br>被沙子埋没，<br>但在艾莉亚・赫尔姆宫殿周边<br>和谢姆沙漠，<br>仍能看到少许树木。<br>大多是拉比岛特有的植物，<br>但在部分地区也能看到<br>与鲁玛西群岛深处相同种类的树木。,说不定是有人从鲁玛西<br>带来了树苗<br>种植的吧！
20009-3,美佛拉修街道,保留着古都风貌的街区。<br>美佛拉修的街道<br>作为艾莉亚・赫尔姆宫殿的城下町<br>得以发展，<br>居民们都<br>对居住在宫殿里的王族<br>抱有敬畏之情。,听说这街道<br>和宫殿一样<br>古老呢！
20009-4,谢姆沙漠,环绕古都美佛拉修的广袤沙漠。<br>据说在沙子下面，<br>沉睡着各种现已被遗忘的<br>古老设施。<br>偶尔会遇到守护那些设施的<br>古老魔像，<br>因此外出时需多加小心。,一想到魔像<br>埋在沙子下面，<br>就觉得这地方好可怕……
20008,阿玛提亚岛,,
20008-1,秩序骑空团 第四厅舍,在绿意盎然的阿玛提亚岛上，<br>格外引人注目的白色巨型建筑。<br>在影响全空的秩序骑空团中，<br>负责法塔・格兰德空域事务的<br>第四骑空艇团总部设于此地。<br>在其顶端矗立着为规律和秩序<br>而挥剑的初代团长雕像。,真是漂亮的建筑，<br>不过一直仰望的话<br>脖子都要痛了
20008-2,第四厅舍 正门,别名「裁决之门」，<br>无论是向秩序骑空团寻求帮助之人，<br>还是被秩序骑空团逮捕归案之人，<br>都要一律经过此门。<br>进入厅舍后能否再次<br>带着笑容走出这道门，<br>就要看各人的所作所为了。,咽口水……<br>看到这道门就<br>莫名紧张起来了
20008-3,阿玛提亚岛居住区,秩序骑空团的骑空士们<br>和相关人员的居所。<br>由秩序骑空团骑空士组成的警备队<br>时刻警戒着试图入侵城镇的魔物，<br>因此这里也被誉为全空第一安全的街道。,和我们生活过的<br>「赞克汀泽」<br>完全不一样呢！
20008-4,克鲁维山脉,占据阿玛提亚岛大部分面积的山脉，<br>山脚下郁郁葱葱。<br>在人迹罕至的森林里<br>栖息着凶猛的魔兽，<br>就连从厅舍逃脱的囚犯<br>也不敢轻易靠近。,没想到这座岛上<br>有这么多绿色呢！
20007,菲尼斯群岛 加隆佐岛,,
20007-1,监视小屋,监视港口出入情况的小屋。<br>虽然进港维修的骑空艇，<br>和维修完成后运出的骑空艇<br>来来往往，港口十分繁忙，<br>但指示并不太准确，<br>经常陷入混乱。,加隆佐的家伙们<br>怎么说呢，<br>做事有点马虎啊……
20007-2,维修中的骑空艇,在中央船坞接受维修的骑空艇。<br>骑空艇对于骑空团来说，<br>既是代步工具，<br>也是如同灵魂般的存在，<br>委托维修的骑空士们<br>与技艺精湛的工匠间有着深厚的信赖。,骑空艇<br>可不能疏于保养啊！
20007-3,起重机群,建造、维修骑空艇<br>必不可少的起重机群。<br>每台起重机根据体型和<br>吊装重量的不同而有不同的名字，<br>其中最大的那台<br>被称为米德加尔特级起重机。,一排排巨大的起重机<br>可真是壮观啊！
20007-4,中央船坞,象征加隆佐的巨大船坞。<br>众多骑空艇在此<br>等待工匠们的维修。<br>同时这里也在进行新型骑空艇的研发，<br>技术人员日以继夜地<br>努力打造更快、更强、<br>更美的骑空艇。,骑空艇也在<br>不断进化呢！
20006,环雾之岛,,
20006-1,魔物馆,村庄边缘一座格外大的建筑。<br>魔物们仿佛在守护这座建筑般<br>在周围徘徊，<br>因此得名魔物馆。<br>很久以前有一户人家住在这里，<br>但即便在那时，他们也很少与村民交流。,真是个可疑的建筑啊……<br>感觉就是会出现啥的<br>那种地方……
20006-2,村民们,虽然村庄被夺走了死亡，<br>但村民们的生活依旧如常。<br>然而，经过漫长岁月，村民们相继死去，<br>全都变成了僵尸，<br>也没有新的孩子出生，<br>不知不觉间，这里就变成了一个僵尸村。,这村子的家伙们<br>心态也太乐观了吧！
20006-3,村公所,小村庄为数不多的公共建筑之一。<br>虽然保存着记载村内大事的台账，<br>但内容都十分粗略。<br>记录显示这座岛的名字叫做<br>「特拉蒙特」，<br>但由于很少与岛外之人交谈，<br>许多村民并不清楚岛屿的名字。,怎么说呢……<br>感觉是个非常悠闲的<br>村子呢！
20006-4,归途桥,据说死者会渡过这座桥，<br>回到家人身边。<br>但实际上，之所以有这种说法<br>是因为孩子们放学回家时<br>经常走这座桥。,放到现在来看<br>真不知该如何评价<br>这种传说了……
20012,戴达罗伊德岛链,,
20012-1,戴达罗伊德岛链 中心街,法塔・格兰德空域内<br>戴达罗伊德岛链的中心街区。<br>由于只有极少数人能够越过瘴气地带，<br>横跨整个空域的戴达罗伊德岛链<br>在各个空域都设有中心街区。<br>在汇集了跨空域稀有商品的市场里，<br>可以看到奔走采购的商人，<br>以及购买样品的调查员的身影。,在这里的话，<br>说不定能买到<br>稀奇的苹果呢！
20012-2,戴达罗伊德岛链 外缘部,构成戴达罗伊德岛链的<br>外缘岩块群。<br>与瘴气地带相邻的戴达罗伊德岛链<br>常年受到强风侵袭，<br>体积较大的外缘岩块群<br>承担着保护驻留岛链从事调查或任务的人们<br>以及栖息在内侧岩块群的动植物<br>免受强风侵袭的作用。,飞越这一带时<br>可得小心别被<br>吹走了啊！
20012-3,戴达罗伊德岛链 小岩块群,被巨大岩块环绕的<br>戴达罗伊德岛链内侧，<br>分布着大量小型岩块的区域。<br>驻留戴达罗伊德岛链从事调查或任务的人<br>通常会在受风影响较小的小岩块群<br>建立据点。<br>但归根结底，戴达罗伊德岛链<br>并不适合人类居住，<br>所以很少有人长期停留。,风这么大，<br>一直住在这里<br>恐怕不太容易吧……
20012-4,云海,戴达罗伊德岛链下方延伸的云海。<br>有时会因瘴气地带的强风<br>导致整个戴达罗伊德岛链被云雾笼罩，<br>失去视野。<br>在这种日子里，从岩块坠落的事故<br>发生率极高，<br>因此所有调查和任务都会被迫中止。,本来落脚点就千疮百孔，<br>再加上视野不良，<br>这下可就危险了……
21001,伊迪尔瓦王国领 美克马尔岛,,
21001-1,星之砦,一座神圣而古老的要塞，守望着天空的尽头。<br>这座要塞建于霸空战争之前，<br>当时统治天空世界、<br>达到全盛时期的「星之民」，<br>究竟是为了与什么作战才建造了它，<br>而要塞本身<br>又具有怎样的机能，<br>这些谜团至今仍未解开，<br>部分国家的研究机构和军方高层<br>正在进行调查。<br>,虽然有点乱，<br>但真是个<br>酷炫的建筑啊！<br>
21001-2,要塞瞭望台,星之砦上部设有一个<br>可以俯瞰整个美克马尔岛的<br>瞭望台。<br>从其结构推测，它原本应该是用来<br>监视瘴气地带和白墙的，<br>但现在盗贼们占据了这个瞭望台，<br>将监视的目光投向整个岛屿。<br>,在这么高的地方，<br>连瘴气地带对面<br>都能看到吧！<br>
21001-3,古老街道,在星之砦周围，<br>可以看到与要塞同时代建造的<br>古老民宅与自然融为一体的景象。<br>由于要塞被盗贼们占领，<br>岛上居民在远离要塞的地方<br>建立了新的生活据点，<br>如今这里成了盗贼们的藏身之处。<br>,虽然看起来像是<br>要塞的一部分，<br>但住起来好像不太方便……<br>
21001-4,要塞机关,星之砦内残留着<br>「星之民」设置的大大小小的机关。<br>然而，由于现在关于要塞的资料<br>大多已经遗失，<br>机能已知的机关<br>寥寥无几，<br>详情也没有向大众公开。<br>,感觉好像会动起来，<br>真是令人<br>心驰神往啊！<br>
21003,克尔加岛,,
21003-1,布赖施蒂夫特山群,象征克尔加岛的<br>形状独特的山体。<br>构成整座岛屿的险峻山峰<br>从不允许常人踏足。<br>只有经过严苛修行的人<br>以性命为赌注，<br>才有资格从山顶俯瞰风景。<br>,那么尖的山，<br>站到顶上的话<br>肯定会滚下来的<br>
21003-2,戒律之堂,为了达到教义的最高境界而修行的人，<br>在旅途中借宿的地方。<br>这里的环境<br>在各方面都十分严苛，<br>不露宿野外，<br>而是住在这个宿舍本身，<br>也被视为修行的一部分。<br>,为什么偏要<br>住在这种地方呢？<br>
21003-3,星游之藏,克尔加岛上，<br>试图达到教义最高境界者的总本山。<br>也是千里眼贤者的住处，<br>周围充满了清净之气。<br>据说贤者管理的藏书库里，<br>不仅有与教义相关的书籍，<br>还沉睡着可能动摇<br>天空与星星历史的禁书。<br>,光是待在这种地方，<br>就会感到<br>精神为之一振呢！<br>
21003-4,环绕岛屿的薄雾,作为克尔加岛的特征之一，<br>岛上终年笼罩着薄雾。<br>它穿梭于<br>高耸入云的群山之间，<br>环绕着整座岛屿。<br>曾经有传说说，试图达到教义最高境界的人<br>修行过于艰苦，<br>以至于以这片薄雾为主食<br>维持生计。<br>,虽然雾蒙蒙的，<br>但不知为何<br>并没有讨厌的感觉！<br>
21002,伊迪尔瓦王国领 古洛斯岛,,
21002-1,福尔克希尔特宫,伊迪尔瓦国王的居城，矗立于水畔。<br>鲜艳的色彩，<br>与周围的自然和谐相融，<br>被誉为广袤的伊迪尔瓦王国领<br>最明媚的风景之一。<br>将主要行政机构集中在城下的布局，<br>体现了伊迪尔瓦王国<br>崇尚理性的特质。<br>,真是座漂亮的城堡啊！<br>我从没见过<br>这样的城堡！<br>
21002-2,卢克斯利埃斯街道,支撑伊迪尔瓦王国经济的主要城市。<br>从古洛斯岛出口的商品，<br>几乎全部先汇集到这座城市，<br>然后再运往伊迪尔瓦王国领的各个岛屿。<br>虽然是一座历史悠久的贸易城市，<br>但沿海渔业也十分发达，<br>城市集市上摆满了大量新鲜的水产品。<br>,人真多啊，<br>看起来是个<br>非常有活力的城市！<br>
21002-3,斯皮格尔湖,为伊迪尔瓦王国首都卢克斯利埃斯<br>带来诸多恩惠的湖泊。<br>通过这个湖泊进行的沿海城市间贸易，<br>对伊迪尔瓦王国而言<br>至关重要。<br>此外湖中水产资源也十分丰富，<br>卢克斯利埃斯有许多<br>使用新鲜湖鱼制作的料理。<br>,简直像海一样<br>广阔的湖啊！<br>
21002-4,古洛斯山,矗立在古洛斯岛中心的标志性山峰。<br>山麓延伸至岛屿下部，<br>对于生活在古洛斯岛上的人们来说，<br>它既是骄傲的象征，也是敬畏的对象。<br>尽管这座山多年来一直与人们相伴，<br>但据说历史上从未有人<br>到达过山顶。<br>,从山顶上<br>能看到怎样的景色呢？<br>
21007,境界的世界,,
21007-1,神火,星晶兽惠比寿积蓄的力量<br>伴随着烟尘急速喷发的现象。<br>境界的世界里也漂流着<br>各种没有质量的残余之力，<br>其中一部分积聚在星晶兽惠比寿体内，<br>成为这种「神火」的源头。<br>因为蕴含着星晶兽惠比寿的力量，<br>所以有突破境界直达天空的威力。<br>,没想到那座火山<br>也是星晶兽的一部分，<br>真令人吃惊！<br>
21007-2,境界之民与福音之民,在境界中遨游的星晶兽惠比寿背上，<br>生活着随波逐流来到惠比寿身边的人们。<br>他们来自不同种族、地位、时代，<br>为了防止纷争，<br>试图用共同的框架将彼此囊括其中。<br>但如今，由于思想差异，<br>他们分裂成了自称境界之民的人<br>和自称福音之民的人。<br>,说不定空之民和星之民<br>意外地也能<br>和睦相处呢<br>
21007-3,在星晶兽惠比寿上的生活,星晶兽惠比寿吸引了<br>来自不同空域、不同时代的各种事物。<br>因此村落中可以看到<br>各个空域、各个时代的痕迹，<br>但又与任何一方都不尽相同。<br>生活以漂流到惠比寿身上的事物为基础，<br>因此村民们最珍视<br>来自外界的访客。<br>,在村子里探险的话，<br>说不定能发现<br>了不得的宝藏呢！<br>
21007-4,境界的世界,位于空之世界与<br>红色地平线之间的境界。<br>它实质上是与空之世界不同的异世界，<br>仅仅向上方前进<br>是无法回到空之世界的。<br>在时间上也是断裂的，<br>在时间停滞的境界世界和空之世界之间，<br>时间上的联系<br>经常会变得混乱。<br>,我还小小地期待了一下<br>能不能<br>见到老爸呢……<br>
21004,贝斯提耶岛,,
21004-1,恩惠山麓,野兽们栖息的原始森林，充满自然恩泽。<br>温暖气候的森林里<br>结满了无数适合食用的果实，<br>在星晶兽艾奇德娜的庇护下，<br>野兽们得以过上乐园般的生活。<br>不过，严禁无谓的争斗，<br>若是违反约定，<br>就会受到艾奇德娜的训斥。<br>,要不是得继续旅行，<br>在这样的森林里生活<br>也不错呢！<br>
21004-2,清流潺潺,也是野兽们歇息的地方，清澈见底的溪流。<br>伴随着清凉的声音流淌的水<br>澄澈透明，<br>以舒适的冰凉滋润野兽们干渴的喉咙。<br>流水声有着<br>让心情平静下来的效果，<br>据说在这条溪流里喝水，<br>无论哪种野兽都会神奇地感到放松。<br>,我也最喜欢<br>河流和森林的声音了！<br>
21004-3,花团锦簇的阶梯瀑布,点缀着嫩绿和鲜花的瀑布。<br>贝斯提耶岛本身就是<br>人迹罕至而又凶险的秘境，<br>几乎没有游客前来观光，<br>但大自然和谐交融形成的秀丽景色，<br>也是岛上野兽们暗自引以为傲的。<br>,虽然见过许多岛屿，<br>但这座岛上的自然环境<br>尤为优美啊！<br>
21004-4,乡愁之渊,贝斯提耶岛瀑布的终点，<br>盈满清澈的水。<br>周围环绕着神秘的瀑布，<br>从中心仰望<br>能感受到大自然的雄伟。<br>深度和广度都恰到好处，<br>日照条件也很好，<br>经常被星晶兽艾奇德娜和岛上的野兽们<br>用来洗澡。<br>,在这里洗个澡<br>确实感觉会<br>特别舒服呢！<br>
21005,雷姆王国领 莱耶岛,,
21005-1,三等居住许可区,在莱耶岛生活的<br>雷姆王国臣民的居住区。<br>在建筑密集的莱耶岛，<br>卫生环境和景观条件越好的上层，<br>被视为越高等的居住许可区。<br>从三等到五等的居住许可区<br>是平民居住的街区，<br>但有些人会在未经许可的地区<br>擅自建房居住。<br>,我还是第一次见到<br>房子这么多的城市……<br>
21005-2,层层叠叠的建筑物,在星晶兽歌尼莎的加护下<br>过度繁荣的莱耶岛，<br>城市规划跟不上岛屿的发展速度，<br>房屋杂乱无章地堆积在一起。<br>虽然非常不稳定，<br>但奇迹般地没有发生倒塌，<br>甚至有人揶揄说，莱耶岛的木匠<br>是全空最出色的木匠。<br>,把房子<br>堆得这么高，<br>居然没塌，真不可思议……<br>
21005-3,笼罩街道的烟雾,在莱耶岛，<br>浓雾常年在<br>高高堆积的建筑物缝隙间弥漫。<br>这是由于<br>人口过于密集，生活必需设施<br>配备不足<br>而产生的，<br>给居住在通风不畅的下层的人们<br>带来了严重的健康危害。<br>,要是在这座城市待久了，<br>感觉我也会<br>变得一身烟灰吧<br>
21005-4,下层街区的热闹,虽然下层居民<br>过着艰苦的生活，<br>但大家都互帮互助，坚强地活着。<br>由于雷姆王国的王室渊源，<br>人们有重视血缘和亲族关系的风俗，<br>祭祀祖先、祈愿家族兴旺的节日，<br>无论在下层还是上层，<br>都会盛大举行。<br>,下面的街区<br>虽然条件差，<br>但看起来还挺有活力的！<br>
21006,修提克岛,,
21006-1,希望之塔,见证了特里德王国兴衰的瞭望台。<br>即使在「天罚」带来的毁灭性破坏中，<br>它也奇迹般地保持着原貌。<br>「天罚」之后，它被称为希望之塔，<br>成为特里德王国复兴的象征，<br>但纳尔·格兰德空域<br>逐渐被卷入战乱的漩涡，<br>如今岛上空无一人，<br>只有这座塔仍在高举希望之光。<br>,怎么说呢……<br>这座塔给人一种<br>有点凄凉的感觉啊……<br>
21006-2,王国遗迹,曾经，<br>这里是特里德王国建立的繁荣遗迹。<br>支撑繁荣的国民们<br>在「天罚」中失去了许多，<br>纷纷抛弃修提克岛，<br>各自散落到天空的各处。<br>如今，无人居住的房屋里<br>住进了连「天罚」再临都不畏惧的<br>无法之徒。<br>,现在还住在这座岛上，<br>真是胆子不小啊……<br>
21006-3,「天罚」的痕迹,突然袭击修提克岛，<br>导致特里德王国崩溃的破坏痕迹。<br>从天而降的光柱，<br>将岛屿、国家、人民化为尘埃，<br>葬送到空之底部。<br>据说从「天罚」造成的巨大创口中，<br>回荡着曾经在此生活的人们<br>怨恨的声音。<br>,好可怕……<br>让人不寒而栗……<br>
21006-4,天上的光辉,给腐败的特里德王国<br>送终的，<br>是从天而降的巨大光柱。<br>那破坏力简直就是神的力量，<br>人们将原因不明的光柱<br>称为「天罚」。<br>但极少数人声称，<br>在「天罚」降临后，看到了<br>大墙微微泛起光辉。<br>,看来在这片云的上方，<br>就是大墙所在<br>的地方啊<br>
