id,name,text,trans,????
93,Worry Wart,"Thanks. But this time, I've got to man up.",???????????????????,
94,Worry Wart,Will you marry me?,????????,
96,Young Woman,Gasp! Really? Are you sure?,????-???????????,
97,Worry Wart,"Since the day I met you, I've thought of no one else. I want to spend the rest of my life with you.",????????????????????????????,
98,Young Woman,Yes! I will marry you!,???????,
100,Young Woman,"Hm, eavesdropping, are we?",?????????,
101,Worry Wart,"Uh, right! Please don't interrupt!",????????????????????,
102,Young Woman,"Well, they've got a point, though. Being too indecisive isn't a good thing. Say, I've got a favor to ask.",??????????????????????????????????????,
103,Worry Wart,"Huh? Oh, sure. It's your birthday so ask me anything!",??????????????????????????????,
105,Young Woman,Well then... let's get married!,????????????,
106,Worry Wart,Yesssss!<br>...<br>Huh?,????,
108,,The proposal seems to have gone well. Djeeta and company leave the happy couple.,?????????????????????????,
111,Vyrn,"That was surprising, especially coming from Djeeta of all people.",????????????????,
112,Vyrn,"It turned out all right, but I was still nervous.",??????????????????????,
113,Korwa,"Well, if the unexpected hadn't happened, he never would have proposed, don't you think?",??????????????????????????????????,
114,Korwa,"I only have one rule: the story has to be a hit. Observing people is my hobby, my work.",??????????????????????????????????????????,
115,Lyria,That's why you forced Djeeta into doing that with you?,??????????????,
116,Korwa,Yep. Although I certainly didn't expect things to work out like that. You're really good at acting.,?????????????????????????????????????????,
117,Korwa,"If I stick with you guys, I think I can make a lot of interesting stories.",???????????????????????????,
118,Korwa,"Let me tag along. I'll pay, of course.",?????????????????????,
119,Vyrn,I don't know about this...,?????,
119-sel1_txt,,What about the tailor shop?,?????????,
119-sel2_txt,,Are you okay with danger?,???????????,
120,Korwa,I'll always be second-rate if I only take orders from the tailor shop.,?????????????????????????,
121,Korwa,"Let me rent a room on the airship, ok? I've got some savings I can use.",????????????????????????????????????,
122,Korwa,"Oh my, that's the kind of exciting life I've been looking for!",????????????????????,
123,Korwa,"Don't worry, as long as you give me a room, I can take care of myself.",??????????????????,
124,Vyrn,"Well, if Djeeta says it's okay then I guess it's okay.",?……?????????????????,
125,Korwa,"Hee hee, then it's decided. Nice to meet you, Djeeta! This is turning out to be a fun tale.",?????????????????????????????????????,
126,,"And so, Korwa persuades her way onto the crew.",?????????????????????,
127,,"She is sure to find plenty of interesting stories, and happy endings, on her travels with Djeeta and company.",??????????????????????????????,
info,,,scene_fate_chr263_ep1,
