id,麻友桑的话筒,text,trans
22,,<span class='scene-font-katari'>ハンナの号令に鼓舞され、</span><br><span class='scene-font-katari'>その場に居た者達は</span><br><span class='scene-font-katari'>皆目を輝かせ、胸を振るわせる。</span>,受到汉娜的号令鼓舞，在场全员都目光灼灼、振奋不已。
23,,<span class='scene-font-katari'>こうして姬塔達と</span><br><span class='scene-font-katari'>マナリアの者達とによる、</span><br><span class='scene-font-katari'>学院解放の最後の戦いが幕を開けた。</span>,就这样，姬塔与众人的拯救学院的最后一站正式打响。
28,ハンナ/汉娜,みなさん！<br>何が何でもアンさん達を<br>時計塔へと導きますわよ！,大家伙儿！无论如何也要把安他们送到钟楼！
29,モノリス,──……,……
35,異形の軍勢,…………,……
36,ミランダ/米兰达,あ～っ☆<br>敵さん、お出ましよ～☆<br>後方にいるジル教授に伝令～☆,啊～☆敌人、出现了～☆快给后方的席尔教授传话～☆
37,ウィリアム,ハンナ！<br>ここは僕達にまかせてよ！,汉娜！这里交给我们！
38,ウィリアム,敵の注意を僕達で引く！<br>だから、なるべく温存して<br>時計塔に向かってくれ！,我来吸引敌人！你们尽量保存体力前往钟楼！
39,ハンナ/汉娜,……恩に着ますわ！,...这份恩情我记下了！
40,オーウェン/欧文,頼む！,拜托了！
41,アン/安,絶対成功させるから！<br>待っててね！　ウィリアム先輩！,我们绝对会成功的！等好消息吧！威廉前辈！
42,グレア/古蕾雅,……行ってくるね。<br>ありがとう！,...我们走了。多谢！
42-sel1_txt,,<span class='scene-font-katari'>ありがとう、先輩</span>,谢了，前辈
42-sel2_txt,,<span class='scene-font-katari'>ハンナに良いところを？</span>,对汉娜有好处？
43,ウィリアム,なんのなんの！,搞什么搞什么！
44,ウィリアム,……彼女達だけでは厳しいだろう。<br>君の力を貸してほしい。,...只靠他们的话很困难吧。希望你能助他们一臂之力。
45,ウィリアム,僕らのせいでこんなことに<br>巻き込んでしまったけど……<br>本当に君達が頼りなんだ！,虽说是因为我才把你们卷了进来……真的要拜托你们了！
46,ウィリアム,んげっ！　バ、バレてた！？,唔！被发现了！？
47,ウィリアム,そ、そんなことはいいから！<br>巻き込んでしまったけど……<br>本当に君達が頼りなんだ！,这种事以后再说！虽说把你们卷进来了...但还是要拜托你们了！
48,ウィリアム,だから……<br>どうかお願いします！<br>学院の未来を……救ってください！,所以...请无论如何！救救学院的未来！
49,ビィ/碧,おう！　任せろ！,哦！交给我们吧！
50,イオ/伊欧,ここまで来たら、<br>やるしかないわよね。,都这会儿了、只能上了。
51,ルリア/露莉亚,姬塔と<br>グレアさんとアンさんとで……<br>必ず門を封じます！,姬塔、古蕾雅、安会一起把门封印起来！
56,オーウェン/欧文,間もなく時計塔に到着します！,就快到钟楼了！
57,ハンナ/汉娜,そろそろですわね。,就快了啊。
58,ハンナ/汉娜,皆さん、<br>後の事はお願いいたしますわ！,之后的事情就交给你们了！
59,ハンナ/汉娜,ワタクシ達はみなさんが<br>挟撃されないよう入り口を<br>守ります！,为了不让你们腹背受敌，入口就交给我们吧！
60,アン/安,うん！,嗯！
62,ハンナ/汉娜,必ず……門を閉じてくださいまし！,务必...将门封印起来！
67,,<span class='scene-font-katari'>ついに時計塔の入り口へと</span><br><span class='scene-font-katari'>辿りついた姬塔達。</span>,众人终于到达钟楼。
68,,<span class='scene-font-katari'>しかし、その入り口は</span><br><span class='scene-font-katari'>依然として異形の軍勢が展開した</span><br><span class='scene-font-katari'>結界で覆われていた。</span>,但是、入口仍然覆盖着异形张开的结界。
69,グレア/古蕾雅,…………,……
70,アン/安,いよいよだね。,就是现在了。
71,ビィ/碧,よぉし！<br>ピアノの姉ちゃん頼むぜ！,好了！拜托了钢琴姐姐！
72,グレア/古蕾雅,うん……,嗯……
75,,<span class='scene-font-katari'>グレアは落ち着いた顔つきのまま</span><br><span class='scene-font-katari'>右手に黄金の炎を纏わせる。</span>,古蕾雅静静地让右手缠绕了黄金般的火焰。
76,ルリア/露莉亚,グレアさん、頑張ってください！,古蕾雅、加油啊！
77,グレア/古蕾雅,<span class='scene-font-4'>たあぁっ！</span>,啊啊啊！
87,,<span class='scene-font-katari'>強烈な衝撃が結界に激突するが、</span><br><span class='scene-font-katari'>結界側も増幅して、</span><br><span class='scene-font-katari'>跳ね返そうとしている。</span>,强大的力量冲击着结界，但是结界也相应增强，将攻击反弹了。
88,グレア/古蕾雅,ぐっ……！！,咕……！
89,,<span class='scene-font-katari'>しかし、結界は恐ろしく強固であり</span><br><span class='scene-font-katari'>グレアの竜の力をもってしても</span><br><span class='scene-font-katari'>破壊することができなかった。</span>,结界出乎意料的坚固，即使是古蕾雅的龙之力，也不能将其破坏。
90,グレア/古蕾雅,なら、もっと力を解放するだけ……！,那么、就再释放一些力量……！
91,アン/安,グレア……！,古蕾雅……！
92,グレア/古蕾雅,まだ大丈夫……<br>すぐ、破壊する……！,还没事...很快，就会破坏了……！
97,,<span class='scene-font-katari'>グレアの右手は煌々と輝き、</span><br><span class='scene-font-katari'>やがて瞳の色も朱に染まりはじめる。</span><br><span class='scene-font-katari'>──竜の力の暴走手前の状態だった。</span>,古蕾雅的右手闪耀着，最终眼眸也渐渐地染上朱红色。那是龙之力暴走的前兆。
98,,<span class='scene-font-katari'>グレアの身体から溢れる力の奔流は</span><br><span class='scene-font-katari'>流れ出るにつれ、明確に殺意を纏い</span><br><span class='scene-font-katari'>黒く染められ、空気を震わせる。</span>,古蕾雅的身体里涌出的力量的奔流缠绕着明确的杀意，染着黑色。空气因此颤抖。
107,ビィ/碧,おいおい、この感じ……<br>ホントに大丈夫なのか……？,喂喂、这个感觉……真的没问题吗……？
108,イオ/伊欧,改めて見ると……<br>この結界、ありえないくらいの<br>密度で編み込まれてるわ。,仔细一看、这个结界，以一种不可思议的密度编织起来了。
109,イオ/伊欧,こんなの普通は無理……<br>異界の力だっていうの……？,按常理说着不可能……这就是异界的力量吗……？
110,ルリア/露莉亚,信じましょう……グレアさんを。,我们要相信古蕾雅。
111,グレア/古蕾雅,…………っ,……唔
112,グレア/古蕾雅,<span class='scene-font-kokoro'>（決めたんだ……</span><br><span class='scene-font-kokoro'>覚悟もした……）</span>,（我下决心了...也做好觉悟了...）
113,グレア/古蕾雅,<span class='scene-font-kokoro'>（この力で……助ける。</span><br><span class='scene-font-kokoro'>マナリアの皆を……！）</span>,（用这股力量...来帮助。帮助马纳利亚的人...！）
114,グレア/古蕾雅,<span class='scene-font-kokoro'>（この力がなければ、助けられない！）</span>,（如果没有这股力量，就无法帮他们！）
123,アン/安,グレア！　もう少しだよ！,古蕾雅！就差一点了！
125,グレア/古蕾雅,<span class='scene-font-4'>くあああぁぁぁっ！！</span>,呀啊啊！！
137,,<span class='scene-font-katari'>グレアの叫びと同時か否か、</span><br><span class='scene-font-katari'>結界が解れ、割れたガラスのように</span><br><span class='scene-font-katari'>バラバラと崩れ落ちる。</span>,与古蕾雅的声音一起，结界破碎了，就像破碎的玻璃一般纷纷坠落。
139,グレア/古蕾雅,はぁ……はぁ……,哈啊...哈啊...
140,イオ/伊欧,やった！,成功了！
141,グレア/古蕾雅,ルリアさん……私、自分を……<br>自分の力を、信じる。,露莉亚...我，想相信自己...相信自己的力量。
142,グレア/古蕾雅,自分を信じられないから、<br>皆を信じて、頼ることも<br>できてなかった。だから……,但是我没能相信自己，也没能相信大家，没能依赖大家。所以.....
143,ルリア/露莉亚,はい。頼ってください。<br>グレアさんを信じたアンさんが<br>頑張るところですよ？,嗯。请依赖我们吧。相信着古蕾雅的安正在努力哦？
144,アン/安,うん、次は私の番。<br>グレアのパスがなかったら、<br>私は何もできなかったんだから。,嗯，接下来就看我的吧。如果古蕾雅没打破结界，我也什么都做不了。
145,ルリア/露莉亚,そして、アンさんが<br>門を閉じるのを信じて<br>私達も頑張ります！,我们相信安能够封印门，所以我们也要加油！
146,ビィ/碧,へへっ！<br>これぞ連携プレイってやつだな！,嘿嘿！这就是技击连携啊！
147,グレア/古蕾雅,うん……！<br>ありがとう、みんな。,嗯...！谢谢大家。
148,イオ/伊欧,トカゲは特に何もしてなくない？,小蜥蜴可什么都没做哦？
149,ビィ/碧,はぁ！？,蛤！？
150,ビィ/碧,オイラはなぁ……！,我可是...！
151,,<span class='scene-font-katari'>結界を破壊した姬塔一行は</span><br><span class='scene-font-katari'>時計塔内部へと進む。</span>,破坏结界的姬塔一行人向钟楼内部前进。
156,異形の司令塔,成程……<br>ヒトならざる者、あすこで<br>仕留め損ねたのは失態だったな。,原来如此……不称之为人的人、在这种地方摔了跟头真是失策了。
157,異形の司令塔,だが、見えるぞ。<br>わ主らがこの地の一大戦力。<br>他の者は皆一様に疲弊している。,但是，就快了。我主将成为此地的征服者。剩下的人都一样疲惫不堪。
158,異形の司令塔,双方にとって今此の場所、<br>此の時が事実上の決戦となる。,对于双方来说，决战就在此地、此刻开始。
159,アン/安,<span class='scene-font-kokoro'>（グレア……姬塔さん……</span><br><span class='scene-font-kokoro'>術式の詠唱と展開はもう始めてる。</span><br><span class='scene-font-kokoro'>あとはお願いね……！）</span>,（古蕾雅...姬塔...我要开始术式的咏唱了。剩下的就交给你们了...！)
160,異形の司令塔,礼も作法も必要なし。<br>我らはただ貪欲に戦果を欲する。<br>もはや最大効率で滅するのみよ。,礼仪与策略都不需要。我们只渴望得到战果。现在只要以最大速度消灭你们就好了。
162,,<span class='scene-font-katari'>異形の者がそう言うや否や</span><br><span class='scene-font-katari'>グレアが飛びかかり、右手の爪で</span><br><span class='scene-font-katari'>紫色の皮膚を薄布のように引き裂く。</span>,异形正这么说的时候，古蕾雅飞奔过来将它紫色的皮肤像布一般撕裂。
163,グレア/古蕾雅,<span class='scene-font-4'>はああぁぁっ！</span>,哈啊啊啊啊！
171,異形の司令塔,ぐぁ……ッ！？,咕...！？
172,グレア/古蕾雅,礼も作法も必要ないって言うから。<br>こっちも余裕ないの。,你说战术与礼仪都不需要。我们这边也就没那么从容了。
173,モノリス,──……,……
179,異形の軍勢,────ッ！！,--唔！！
180,グレア/古蕾雅,姬塔さん！<br>周りのヤツらをお願い！<br>私はこいつを……！,姬塔！周围的杂鱼就交给你了！我来对付这家伙……！
181,ビィ/碧,おうっ！<br>さあ、正念場だぜ！,哦！来吧，好戏开场了！
182,ルリア/露莉亚,グレアさんを守りましょう、<br>姬塔！,保护好古蕾雅吧，姬塔！
186,アン/安,エスタ・メラ・メティエル・ゼーナ……,ESUTA·MERA·METYIERU·ZE--NA……
187,オーウェン/欧文,<span class='scene-font-kokoro'>（術式完成まであとどれ程だろうか。</span><br><span class='scene-font-kokoro'>敵は全てグレア君達に集中している。</span><br><span class='scene-font-kokoro'>どうかこのまま……）</span>,（术式还有多久能完成呢。敌人已经全部集中到古蕾雅他们那里了。上帝保佑就这样……）
188,アン/安,……アル・フェル・テント──！,……   ARU·FEYRU·TENTO--!
190,アン/安,できたっ！,完成了！
191,アン/安,葬咎の使徒よ来たれ！<br>彼の地との連繋をここで断ち、<br>異界の汚れを浄化せよ！,葬礼使徒听我号令！切断他们与此地的连接，净化异界污秽！
197,異形の軍勢,！！,！！
198,異形の司令塔,越界の門が……！？,越界之门……！？
199,イオ/伊欧,すごい……！<br>これだけ複雑な術式を<br>今の時間だけで、それも一人で……,TQL...！如此繁复的术式只在这么点的时间里，而且还是一个人……
204,,<span class='scene-font-katari'>門が収縮し、その門から</span><br><span class='scene-font-katari'>出現した異形の軍勢達を</span><br><span class='scene-font-katari'>吸い込んでいく。</span>,门开始关闭，将从门中出现的异形军尽数吸入。
207,,<span class='scene-font-katari'>アンの詠唱の直後、</span><br><span class='scene-font-katari'>越界の門とされる、空中に浮き出た</span><br><span class='scene-font-katari'>法陣が歪み縮小していく。</span>,安的咏唱直接作用于越界之门，空中浮现的法阵歪曲缩小。
212,,<span class='scene-font-katari'>そして、その門から現出した</span><br><span class='scene-font-katari'>異形の軍勢が、門に吸い込まれる</span><br><span class='scene-font-katari'>ように引き寄せられ姿を消していく。</span>,从门中出现的异形军，被门所吸入，就此消失。
213,,<span class='scene-font-katari'>それは時計塔内部の異形だけでなく</span><br><span class='scene-font-katari'>屋外の異形達も同様だった。</span>,无论是钟楼内的还是钟楼外的。
218,,<span class='scene-font-katari'>異形達の身体は気体のようになり</span><br><span class='scene-font-katari'>空中に溶け、壁を貫通して押し寄せ</span><br><span class='scene-font-katari'>法陣に吸い込まれ消え失せていった。</span>,异形们的身体仿佛变成了气体溶解在空中，透过墙壁，被吸入法阵消失了。
219,異形の司令塔,認めぬ……<br><span class='scene-font-4'>認めぬゥゥ！！</span>,我好恨...我好恨！！！！
220,異形の司令塔,ここまできて……<br>このような失態……！<br>決して許されるものではない！,已经走到这里...这样的失败...！绝不能容许！！
221,グレア/古蕾雅,そうはさせない。,休想得逞。
226,グレア/古蕾雅,<span class='scene-font-4'>ここで終わり！</span>,这儿就是你的葬身之地！
227,異形の司令塔,！？,！？
234,,<span class='scene-font-katari'>グレアの渾身の一撃の拳が、</span><br><span class='scene-font-katari'>敵の胴体を貫通する。</span>,古蕾雅的全力一击，贯穿了敌人的身体。
235,異形の司令塔,ガッ……ガバァッ……！,噶...噶叭...！
239,異形の司令塔,<span class='scene-font-4'>グバババ！！</span>,咕叭叭叭！！
240,異形の司令塔,繋ぎだ！　次攻め入るまでの！,连接上了！直到下一次攻击为止！
241,グレア/古蕾雅,……？,...？
242,異形の司令塔,我が心核、帝に捧げん！,将我的内核，献给皇帝！
246,グレア/古蕾雅,！！,！！
248,,<span class='scene-font-katari'>本能的に危機を感じて異形の者から</span><br><span class='scene-font-katari'>距離を取るグレア。</span>,古蕾雅本能地感到危机，与异形们拉开了距离。
252,,<span class='scene-font-katari'>なんと、グレアが与えた傷口から</span><br><span class='scene-font-katari'>突如として獣の頭が飛び出てきた。</span>,突然，在古蕾雅打穿的伤口中蹦出了一头兽首。
253,？？？,<span class='scene-font-4'>オオオオオオォォォッ！！</span>,噢噢噢噢噢噢！！
254,アン/安,なにあれ！？,那是什么！？
255,オーウェン/欧文,異形を食い破り、内側から……？<br>いや、体積が明らかに違いすぎる！,从内部吞噬异形，破皮而出...？不对，体积差太多了！
256,ルリア/露莉亚,一瞬だけ感じました……<br>あの敵が倒れる瞬間に、身体の中の<br>何かを「門」にしたのを……,有一瞬间我感受到了……打倒那个敌人的瞬间，它身体的什么东西变成了门……
257,イオ/伊欧,もう、どういうことよー！<br>次から次へと！,真是的，到底怎么回事啊--！没完没了的！
262,,<span class='scene-font-katari'>黒き獣は窮屈な窓から</span><br><span class='scene-font-katari'>身を乗り出すように這い出て</span><br><span class='scene-font-katari'>その巨躯を露わにしていく。</span>,黑兽试图从狭小的门户爬出去，那巨大的身躯渐渐显露出来。
263,オーウェン/欧文,これは……想像以上に巨大です！<br>このままでは時計塔が崩れる！<br>皆、ここは脱出しましょう！,这、可比想象中大多了！这样下去钟楼就塌了！大家、准备撤退吧！
269,？？？,<span class='scene-font-4'>オオオオオオォォォッ！！</span>,噢噢噢噢噢噢噢噢！！
270,,<span class='scene-font-katari'>時計塔そのものを超えるかの</span><br><span class='scene-font-katari'>ような体躯の黒き獣を前にし、</span><br><span class='scene-font-katari'>危機を感じた一同は屋外に退避する。</span>,在超越钟楼的黑兽躯体前，感到危机的众人向屋外撤退。
276,,<span class='scene-font-katari'>オーウェンの言葉通り、</span><br><span class='scene-font-katari'>黒い獣の体積と重量で時計塔は</span><br><span class='scene-font-katari'>破裂し、粉々に倒壊してしまった。</span>,正如欧文所说，黑兽的体积、重量远超钟楼。钟楼就此崩塌粉碎。
277,ビィ/碧,ふぃ～、危機一髪だぜ。<br>あれ、時計塔よりも<br>かなりでっけぇぞ……,呼~千钧一发啊。那个、可比钟楼大多了……
278,アン/安,最後の悪あがきってやつかな？<br>門を広げられてたらこんなのが<br>まだまだいたってこと……？,最后的BOSS来了的意思？门扩张了也就是说这种东西还有很多的意思……？
279,オーウェン/欧文,はぁ……<br>考えたくありませんね……,哈...真是不想想啊……
282,グレア/古蕾雅,でも、門はアンが閉じてくれた。<br>あとはコイツを倒せば、<br>すべて終わる……！,但是、门已经被安封印了。只要打倒这家伙、就都结束了……!
283,？？？,<span class='scene-font-4'>オオオオオオォォォッ！！</span>,噢噢噢噢噢噢噢噢！！
284,アン/安,うん、そうだね！,嗯，说的是。
285,グレア/古蕾雅,アンは魔力を使い果たしただろうから<br>今度はまた、私と姬塔に<br>任せて。,安使用魔力过头了吧，这次就交给我和姬塔。
286,アン/安,うん……！<br>お願い、グレア！,嗯...！拜托了，古蕾雅！
287,ビィ/碧,兄ちゃんは護衛、頼むぜ！,小哥你来做护卫，拜托了！
289,オーウェン/欧文,フッ。<br>言われずとも、私の務めは果たす。,哼。不说，我也会履行我的义务。
290,オーウェン/欧文,だから、存分に戦ってきてくれ！,所以，尽情地去去战斗吧！
291,イオ/伊欧,的は大きいから、<br>思いっきり暴れられそうね！,敌人很强大、所以来大闹一场吧！
292,ルリア/露莉亚,いきましょう……！<br>姬塔、グレアさん！,走吧...！姬塔，古蕾雅！
293,グレア/古蕾雅,うん！,嗯！
info,麻友桑的话筒,,scene_evt170831_cp6_q4_s20
