0-	chapter_name,,男らしく、兄らしく,像个男子汉，像个哥哥
31,ヨウ/容,オレもずっと姬塔達に<br>ユエ姉ぇとソシ姉ぇに<br>お礼してぇって思ってたンだ！,我也是一直想着要谢谢姬塔他们和尤艾姐姐和苏思姐姐呢！
32,コウ/蔻,ふふ、よかった。<br>ヨウが一緒なら心強いです。,哼哼，那就好。和容一起的话就有把握了。
33,ヨウ/容,でも……なにすンだ？,不过……要做什么呢？
34,コウ/蔻,ほら、僕達が<br>最近できるようになったことが<br>あるじゃないですか。,喏，我们最近不是学会了点什么嘛。
35,ヨウ/容,あぁ！　アレかぁ！<br>おあげサンの早食いだな！,啊啊！那个啊！是油炸早餐吧！
36,コウ/蔻,違いますよ！<br>そんなこと一緒にした覚え<br>ありませんよ！？,才不是呢！我才没和你一起做过这个！
37,コウ/蔻,ほら、一緒に働いて<br>学んだじゃないですか……,喏，一起打工学会的不是吗……
38,ヨウ/容,あぁ！　ひとでなしか！, 啊啊！ 人面兽心吗！
39,コウ/蔻,<span class='scene-font-4'>おもてなしですよ！</span><br>温泉宿で鍛えたあの技術っ！<br>お料理に片づけにお酌に舞ですっ！,是招待啊！在温泉旅馆磨炼的那个技术！收拾碗碟斟酒跳舞那些的！
40,コウ/蔻,ていうか、<br>わざと間違えてますよね！？,不对啊，你是故意讲错的吧！？
41,ヨウ/容,かははは！　わりぃわりぃ。<br>コウ兄ぃの反応面白ぇからついな……,哈哈哈哈！抱歉抱歉。蔻哥哥的反应很好玩下意识就……
42,ヨウ/容,けど、おもてなしすンにも<br>色々準備しなきゃだろ？,不过，要招待也得做很多准备吧？
43,ヨウ/容,秘密でやンなら、<br>グランサイファーじゃできねぇよ。<br>準備の途中でぜってぇバレちまう。,要秘密进行的话，在格兰赛法不行吧。在准备途中绝对会暴露。
44,コウ/蔻,そうですね……一旦、<br>おかみさんに相談してみますか。,是啊……总之，先和老板娘商量一下吧。
45,コウ/蔻,もしかしたら大部屋を一つ、<br>貸してくれるかもしれません。,搞不好能借给我们一间大房间呢。
46,ヨウ/容,おっ、流石コウ兄ぃ頭いい！<br>ミマカの皆にも会えるしッ！<br>行こうぜ、行こうぜッ！,喔、不愧是蔻哥哥脑筋转的真快！还能见到米玛珈的大家！走吧走吧！
47,,<span class='scene-font-katari'>ふたりは楽しげに</span><br><span class='scene-font-katari'>姬塔達におもてなしする</span><br><span class='scene-font-katari'>計画を練っていく。</span>,两人愉快地讨论着招待姬塔一行的计划。
48,,<span class='scene-font-katari'>そしてふたりは姬塔に</span><br><span class='scene-font-katari'>悟られぬよう、それとなくミマカに艇を</span><br><span class='scene-font-katari'>動かして欲しいとお願いするのだった。</span>,于是两人为了不被姬塔发现，悄悄地让艇朝着米玛珈方向前进。
info,,,scene_chr574_q1_s10
译者,,,tearanne
