id,设计稿,text,trans
10,,<span class='scene-font-katari'>タイアーの視線を追った３人は</span><br><span class='scene-font-katari'>そばに立つ生気のない人影を見た。</span>,<span class='scene-font-katari'>随着泰亚的视线，三人</span><br><span class='scene-font-katari'>看到了一个死气沉沉的身影。</span>
11,？？？,…………,…………
12,３人,<span class='scene-font-4'>ゥヒッ！？</span>,<span class='scene-font-4'>啥！？</span>
13,タイアー/泰亚,せ……先輩方、落ち着いてください！<br>ルナール殿です！,前……前辈们，冷静点！<br>是露娜露啦！
17,ルナール/露娜露,…………,…………
18,ローアイン/罗艾因,あ……,啊……
19,エルセム/艾尔塞姆,<span class='scene-font-2'>ッベェぞ、妄想聞かれてた系？</span>,<span class='scene-font-2'>完了，不会是听到了吧？</span>
20,トモイ/托莫伊,<span class='scene-font-2'>まぢーぞ！　印象爆下がりだ！？</span>,<span class='scene-font-2'>这可惨了！　好感激减了！？</span>
21,ルナール/露娜露,<span class='scene-font-2'>……出ないの。</span>,<span class='scene-font-2'>……没有啊。</span>
22,トモイ/托莫伊,え……<br>な、なんスか？,欸……<br>什么意思？
23,ルナール/露娜露,<span class='scene-font-4'>アイディアが出ないの！</span>,<span class='scene-font-4'>没有灵感啊！</span>
24,,<span class='scene-font-katari'>ルナールはそう叫び、</span><br><span class='scene-font-katari'>悲しみに溢れた顔をさらけ出した。</span>,<span class='scene-font-katari'>露娜露大声叫道，</span><br><span class='scene-font-katari'>一脸悲伤逆流成河的表情。</span>
25,ローアイン/罗艾因,ルナさん、なんかあった？<br>とりま話聞くからオチケツ。,露娜，发生什么了吗？<br>先冷静下来说说看吧。
26,ルナール/露娜露,うぅ……ありがどう……<br>今度、また絵物語の見本市があって<br>そこに出すネームを切ってたの……,唔……谢谢……<br>这次，又要举行连环画的集会了<br>得赶紧交原稿了……
27,エルセム/艾尔塞姆,ネームってなんだっけ？,交什么原稿？
28,トモイ/托莫伊,下描きみたいなやつだべ、たしか。<br>てか、また見本市あるんだ。,就是之前那个草稿一样的东西吧，记得是。<br>话说，这集会居然还在啊。
29,ルナール/露娜露,えぇ……規模としては<br>前よりも小さめなんだけど……,嗯……规模上来说<br>比之前要小了很多虽然。
30,ルナール/露娜露,ポポル・サーガに対するわたしの<br>新たな解釈を発表する<br>うってつけの場だと思うの……,不过很适合我关于《Popola Saga》<br>的新同人创作。
31,,<span class='scene-font-katari'>ポポル・サーガとは</span><br><span class='scene-font-katari'>全９巻という大作でありながら</span><br><span class='scene-font-katari'>作者不明の未完の作品である。</span>,<span class='scene-font-katari'>《Popola Saga》是</span><br><span class='scene-font-katari'>一部全九卷的</span><br><span class='scene-font-katari'>由匿名作家创作的未完成作品。</span>
32,,<span class='scene-font-katari'>結末にあたる10巻は現存しないが</span><br><span class='scene-font-katari'>それ故に読者が思い思いの終幕を構想、</span><br><span class='scene-font-katari'>発表する文化が生まれ、根づいていた。</span>,<span class='scene-font-katari'>最终并没有留存下第十卷</span><br><span class='scene-font-katari'>但也正因此引发了读者的联想，</span><br><span class='scene-font-katari'>成为了以之为蓝本的同人创作文化。</span>
33,,<span class='scene-font-katari'>ルナールもそのポポル・サーガの</span><br><span class='scene-font-katari'>熱狂的な読者のひとりであり、</span><br><span class='scene-font-katari'>同時に作者でもあるのだが──</span>,<span class='scene-font-katari'>而露娜露也正是《Popola Saga》</span><br><span class='scene-font-katari'>的狂热粉丝之一，</span><br><span class='scene-font-katari'>同时也在进行着同人创作──</span>
34,ルナール/露娜露,これまでの自分の固定観念に<br>囚われているっていうのかしら……<br>最後の詰めがどうしてもできなくて。,至今都被自己的定式思考方式<br>所限制住了发挥……<br>结果最后无可奈何的陷入了瓶颈。
35,ルナール/露娜露,例の如く締め切りが迫ってて……,就是那个截稿日临近了……
36,ルナール/露娜露,今日にでもネームを完成させないと<br>わだじ……また……うぅ……,今天如果没办法完成漫画原稿的话<br>我……又会……
37,ルナール/露娜露,……そこでね、もうこうなったら<br>いっそのこと恥を忍んで<br>誰かに助言を求めようと思って……,……于是呢，既然都这样了<br>就想着不耻下问<br>找谁谈谈这件事……
38,ルナール/露娜露,顔上げたらあなた達が見えたから……,抬起头就看到你们了……
39,ローアイン/罗艾因,えっ！<br>俺らがルナールプロにアドバイス！？,欸！<br>露娜露大师在求助我们？
40,ルナール/露娜露,……あ、でも面倒だったら別に……<br>ごめんなさい。<br>いまのは聞かなかったことに……,……啊，如果麻烦的话干脆……<br>不好意思。<br>请无视刚才的话……
41,３人,<span class='scene-font-4'>やるでしょ！</span>,<span class='scene-font-4'>说干就干！</span>
42,ルナール/露娜露,え？,欸？
43,タイアー/泰亚,先輩方には敵いませんが、<br>自分も協力は惜しみません。,虽然比不过前辈们，<br>我也会尽力协助的。
44,ルナール/露娜露,本当に……？<br>あ、ありがとう……,真的吗……？<br>谢，谢谢……
45,ルナール/露娜露,そ、それじゃ、さっそくこれを<br>読んでほしい……のだけど……,那，那么，赶快<br>读一读这个吧……先……
46,ルナール/露娜露,あの、もし途中で読むのが嫌になったら<br>いつでもやめていいからね……？<br>なにせ耽美絵だし……,那个，如果觉得受不了了<br>随时都可以退出的<br>毕竟是耽美作品……
47,,<span class='scene-font-katari'>絵物語の中でも</span><br><span class='scene-font-katari'>男性の登場人物同士の色恋を中心に</span><br><span class='scene-font-katari'>描いたものは耽美絵と呼ばれている。</span>,<span class='scene-font-katari'>连环画中</span><br><span class='scene-font-katari'>描绘男性间情爱的作品</span><br><span class='scene-font-katari'>就叫做耽美作品。</span>
48,ローアイン/罗艾因,なんスかそれ。<br>俺らガチめに器デカい漢目指してるんで<br>なんでもござれって感じッスよ？,什么嘛。<br>我们的气量可是很大的<br>这点小意思是吧？
49,,<span class='scene-font-katari'>ルナールはとまどいつつも</span><br><span class='scene-font-katari'>ネームの束を</span><br><span class='scene-font-katari'>ローアイン達に渡すことにした。</span>,<span class='scene-font-katari'>露娜露纠结着</span><br><span class='scene-font-katari'>把一沓漫画原稿</span><br><span class='scene-font-katari'>交给了罗艾因等人。</span>
50,,<span class='scene-font-katari'>受け取ったローアイン達は</span><br><span class='scene-font-katari'>１枚ずつ回し読みしていくが──</span>,<span class='scene-font-katari'>收下的罗艾因等人</span><br><span class='scene-font-katari'>一张一张看了起来──</span>
55,ルナール/露娜露,…………,…………
56,エルセム/艾尔塞姆,……なぁ、ローアイン、<br>早く次のページよこせよ。,……喂，罗艾因，<br>翻页吧。
57,ローアイン/罗艾因,あ～？　ちょ待てよ。<br>まだ読んでんだって。,啊~？等会了<br>还在读呢。
58,トモイ/托莫伊,遅すぎね？<br>後がつかえてるっつーの！<br>マキリＤｏなったんだよ！,太慢了吧？<br>我想后面了！<br>Makiri（间桐）后来到底怎么了！
59,ローアイン/罗艾因,あぁ？　まだそこ？<br>いや、それがさ、<br>マキリが森に向かった後──,啊？怎么还在那里？<br>不是，那人<br>后来去了森林然后——
60,３人,<span class='scene-font-4'>わーっ!</span>,<span class='scene-font-4'>哇!</span>
61,エルセム/艾尔塞姆,<span class='scene-font-4'>ネタバレすんなし！</span><br>つか読めてねぇのは<br>ローアインのせいだっつーの！,<span class='scene-font-4'>剧透个头啊！</span><br>而且我没看到<br>还不是罗艾因你的问题！
62,エルセム/艾尔塞姆,……つか、ターくんも叫んでなかった？,……我说，泰亚你是不是也叫出声了？
63,タイアー/泰亚,ゴホンッ！,咳咳！
64,タイアー/泰亚,……失礼しました。<br>できればルナール殿のネームで<br>物語を楽しみたく思い……,……失礼了。<br>可以的话希望能看到露娜露的成品原稿<br>来欣赏这个故事……
65,トモイ/托莫伊,マジそれな。<br>ルナールプロ、これおもしれーよ！,就是说啊。<br>露娜露大师，真有意思啊这故事！
66,ルナール/露娜露,ほ、本当に……？,真，真的吗……？
67,,<span class='scene-font-katari'>そしてローアイン達は楽しみながら</span><br><span class='scene-font-katari'>ルナールの書きかけのネームに</span><br><span class='scene-font-katari'>目を通していった──</span>,<span class='scene-font-katari'>罗艾因等人兴致勃勃的</span><br><span class='scene-font-katari'>把露娜露完成的原稿</span><br><span class='scene-font-katari'>通读了一遍──</span>
68,ルナール/露娜露,……それで、どうかしら？<br>あなた達の忌憚なき意見を<br>ぜひ聞かせてほしいのだけど……,……于是，感觉怎么样？<br>不需要有顾虑说说意见吧<br>我非常想知道……
69,エルセム/艾尔塞姆,そーだなぁ～おもしろかったんスけど、<br>なんでこの爺さん、ポポルの恋路、<br>邪魔すんのよ？　とは思ったッスね……,是呢~虽然很有趣啦<br>这个老爷子为啥要妨碍Popola的恋爱啊<br>想不通啊……
70,ルナール/露娜露,大臣のことね。彼は頭が固いのよ。<br>ポポルとマキリの仲に気づいて<br>引き裂こうとするの。,是大臣啊。他是顽固的人啦。<br>发现了Popola和Makiri的关系<br>所以想要妨碍啦。
71,ルナール/露娜露,皇子の幸せよりも<br>国の繁栄を願っているのよ。,比起皇子的幸福<br>还是更看重国家的繁荣昌盛。
72,トモイ/托莫伊,あと、この副官？<br>マジ卑怯な手使うし、<br>粘着すぎっしょ！,还有这个副官<br>手段太恶劣了吧<br>烦死个人！
73,ルナール/露娜露,副官は国を乗っ取ろうとしているのよ。<br>手段を選ばずに成り上がろうとする<br>野心家だから、ポポル様が邪魔なの。,副官想要控制国家。<br>是不择手段的野心家，为此妨碍Popola的。
74,ローアイン/罗艾因,つーか、ポポルもポポルよ。<br>国とか立場とかどーでもいーべ。<br>愛に生きるべきじゃね？,说到底，Popola也是。<br>总想着国家<br>难道不该做爱做的事吗？
75,ルナール/露娜露,え、えぇ……？,欸……？
76,ルナール/露娜露,自分の気持ちと皇子としての立場に<br>板挟みになっている葛藤が<br>ドラマを盛り上げるんじゃない……,正是自己的想法和皇子的人物立场<br>搞得两头为难<br>才导致这些事端的……
77,ローアイン/罗艾因,う～ん、ここは……<br>ガツーンと強引にいく感じが<br>いいと思うんスよね～,嗯，这里呢……<br>干脆就别管那么多反而要好看一些，我觉得~
85,,<span class='scene-font-katari'>ついに敵国との</span><br><span class='scene-font-katari'>戦いの火ぶたは切られてしまった。</span>,<span class='scene-font-katari'>终于，和敌国的</span><br><span class='scene-font-katari'>战争开始了。</span>
86,,<span class='scene-font-katari'>城内のポポル皇子は</span><br><span class='scene-font-katari'>迫り来る敵軍と迎え撃つ自軍の</span><br><span class='scene-font-katari'>激戦を遠くに見ていた。</span>,<span class='scene-font-katari'>城内的Popola皇子</span><br><span class='scene-font-katari'>远远看着激战中的</span><br><span class='scene-font-katari'>抵抗来犯之敌的我军。</span>
87,ポポル皇子,っきしょー……<br>ついにここまで来たか……<br>でもあの戦場のどっかに……,混蛋——……<br>终于到这地步了吗……<br>但那战场上……
89,エルセム/艾尔塞姆,皇子！　報告です！<br>敵軍、かなり温度感高めで<br>凸ってきてます！　ガチでヤバげ！,皇子！　报告！<br>敌军，气势正盛地<br>冲杀过来了！　完了个蛋！
90,トモイ/托莫伊,自軍、わりかしさげぽよで、<br>ちゃけば劣勢み強いッスわ。<br>アルティメットヤババババハムート。,我军相较之下士气低沉，<br>打起来太难赢了。<br>形势超8乐观。（译注：原文为超巴的谐音冷笑话）
91,ポポル皇子,なぁ、トモちゃん、エルっち……<br>あのさ、こんな時だけど、<br>俺……なんつーか……,喂，托莫伊，艾尔塞姆……<br>那啥，虽然时机不太对，<br>我……怎么说呢……
92,エルセム/艾尔塞姆,マキぴンとこだろ？<br>わかってるって！,是担心Makiri吧？<br>了解了解！
93,ポポル皇子,……っ！？,……！？
94,,<span class='scene-font-katari'>ポポルが想いを寄せるマキぴこと</span><br><span class='scene-font-katari'>マキリは、敵国の大将の息子である。</span><br><span class='scene-font-katari'>あの戦場のどこかに必ずいるだろう。</span>,<span class='scene-font-katari'>Popola想到的Makiri，</span><br><span class='scene-font-katari'>是帝国大将的儿子。</span><br><span class='scene-font-katari'>肯定也身陷于这战场之中。</span>
95,,<span class='scene-font-katari'>ふたりの運命は</span><br><span class='scene-font-katari'>国と国の威信をかけた戦いによって</span><br><span class='scene-font-katari'>引き裂かれた形だが──</span>,<span class='scene-font-katari'>两人的关系，</span><br><span class='scene-font-katari'>也因为国家间的死斗</span><br><span class='scene-font-katari'>已经四分五裂了──</span>
96,トモイ/托莫伊,行っちまえよ、皇子。<br>戦争なんてマジしょーもねーわ。<br>マキぴと幸せになるべきっしょ！,去吧，皇子。<br>战争就别管了。<br>和Makiri去寻找幸福吧！
97,ポポル皇子,エルっち……トモちゃん……！,艾尔塞姆……托莫伊……！
98,,<span class='scene-font-katari'>そしてポポル皇子は従者を連れ、</span><br><span class='scene-font-katari'>戦場のどこかにいる</span><br><span class='scene-font-katari'>マキリのもとへ急ぐことに──</span>,<span class='scene-font-katari'>于是Popola皇子带着从者，</span><br><span class='scene-font-katari'>在战场急切寻找着</span><br><span class='scene-font-katari'>不知在何处的Makiri──</span>
106,ポポル皇子,はぁ……はぁ……<br>マキぴ……待ってろよ……！,哈……哈……<br>Makiri……等着我啊……！
107,エルセム/艾尔塞姆,皇子！　前見て、前！<br>っべーぞ……エンカしちまった！<br>大臣だ……！,皇子！看前面，前面！<br>不妙了……撞上大臣了……！
110,エルセム/艾尔塞姆,ゴリラ大臣……略してゴリジンだ！ <br>文系らしからぬガタイ故に<br>巷でそう呼ばれているという！,大猩猩大臣……简称猩大臣！<br>因为那身板一点都不像文臣<br>所以给了这么个外号！
113,ゴリジン,ここから先へは行かせんッ！,别想往前走了！
114,,<span class='scene-font-katari'>大臣はポポルとマキリの関係を知り、</span><br><span class='scene-font-katari'>国の繁栄のため</span><br><span class='scene-font-katari'>ふたりを引き裂こうとしている人物だ。</span>,<span class='scene-font-katari'>大臣知道了Popola和Makiri的关系，</span><br><span class='scene-font-katari'>为了国家的繁荣</span><br><span class='scene-font-katari'>而拆散了两人。</span>
115,トモイ/托莫伊,ゴリジン、かまちょかよ！<br>マジうぜぇけど、Ｄｏする！？<br>わりかしガタイいいしよぉ……,猩大臣别碍事啊!<br>这是强敌啊，Zen么办！？<br>感觉无法相互理解的样子。
116,トモイ/托莫伊,つーか……<br>いくらガタイに自信あっからって<br>マッパはやべーだろ！,再说……<br>再怎么觉得自己身材好<br>啥都不穿什么鬼！
117,ポポル皇子,もうこうなりゃ関係ねーぜ！<br>国よりも愛がイチバンっしょ！,事已至此，别无他法！<br>比起国家我选择爱情！
118,ポポル皇子,<span class='scene-font-4'>オラァッ！！</span>,<span class='scene-font-4'>欧拉！！</span>
120,ゴリジン,ウッホォ……！？,唔……！
123,トモイ/托莫伊,ナイスゥ皇子！<br>オラつき具合、マジ半端ねぇから！,漂亮，皇子！<br>欧拉这一拳，真不是盖的！
124,,<span class='scene-font-katari'>愛に目覚めたポポル皇子は問答無用で</span><br><span class='scene-font-katari'>ゴリラ大臣をぶっ飛ばし、</span><br><span class='scene-font-katari'>なおも突き進もうとするが──</span>,<span class='scene-font-katari'>为了爱情，皇子不顾一切</span><br><span class='scene-font-katari'>打飞了猩大臣，</span><br><span class='scene-font-katari'>准备继续前进时──</span>
126,ゴリジン,ポポル皇子……あなたには……<br>戦場に残ってもらうぞッ！,Popola皇子……你得给我……<br>留在战场作战！
127,トモイ/托莫伊,立ち上がった……だと？<br>さすが文系らしからぬガタイの持ち主。<br>国の繁栄ガチ勢、半端ねぇな……,站起来了……居然？<br>不愧是超越文臣的肌肉兄贵。<br>一心为了国家的繁荣，好强……
128,エルセム/艾尔塞姆,くっ……！<br>行け、皇子！　トモちゃんも！,可恶……！<br>去吧，皇子！托莫伊也跟上！
129,ポポル皇子,エルっち！？,艾尔塞姆！？
130,エルセム/艾尔塞姆,ここは俺に任せて先に行け！<br>そんで、マキぴにシクヨロ……<br>幸せになれよな！,这里就留给我来！<br>然后和Makiri说声……<br>要给皇子幸福啊！
131,トモイ/托莫伊,エルっちの言う通りだべ！<br>皇子、急ごうぜ！,艾尔塞姆说的对！<br>皇子，赶紧走吧！
132,ポポル皇子,バーロー……<br>エルっち！　死ぬんじゃねーぞ！,笨蛋……<br>艾尔塞姆！别给我死了啊！
133,,<span class='scene-font-katari'>後ろ髪をひかれながら</span><br><span class='scene-font-katari'>ポポル皇子はトモイと共に先に進む。</span><br><span class='scene-font-katari'>だが行く手を阻む者は他にもいた。</span>,<span class='scene-font-katari'>纠结了一会儿</span><br><span class='scene-font-katari'>Popola皇子和托莫伊继续前进。</span><br><span class='scene-font-katari'>但途中遇到了其他的来敌。</span>
139,トモイ/托莫伊,マッチョ副官かよ！？,肌肉兄贵副官！？
144,副官直属の兵士,くっくっくっく……<br>現れたな、ポポル皇子。<br>副官はすべてお見通しだったぞ。,呼呼呼呼……<br>来了啊，Popola皇子。<br>副官大人可全料到了。
145,マッチョ副官,ポポル皇子よ！<br>兵を置いて軍場を逃げ出すとは<br>万死に値するぞ！,Popola皇子！<br>抛弃士兵逃离战场<br>罪当万死！
146,マッチョ副官,だが手間が省けた……<br>ここで貴様を亡き者にし、<br>軍が政権を掌握してみせよう！,不过也方便了……<br>在这杀了你，<br>我要夺了军队的权！
147,ポポル皇子,っせーぞ、ドヤんな！<br>てめぇの筋肉は<br>前から気に食わなかったんだわ！,吵死了，别挡道！<br>看着你这身腱子肉<br>老子以前就很不爽了！
148,ポポル皇子,<span class='scene-font-4'>オラァッ！！　オラオラァッ！！</span>,<span class='scene-font-4'>欧拉！！　欧拉欧拉！！</span>
151,副官直属の兵士,ぐはっ！！,哈！！
154,マッチョ副官,チョッ……マッ……！？,啥…等…！？
156,ポポル皇子,マッチョだきゃ許さねぇかんな？<br>国外退去だてめぇらコラ。,肌肉兄贵我绝不原谅你哦？<br>给我滚出国门去。
157,ポポル皇子,って、そんなこと言ってる<br>場合じゃねーわ！<br>トモちゃん、さっさと行くべ！,啊，没有讲这个的功夫了<br>托莫伊，赶紧走！
158,トモイ/托莫伊,ワリ、皇子……<br>ここからはひとりで頼む的な？<br>あれ見てみ？,抱歉，皇子……<br>一个人没问题吧？<br>看见没？
160,マッチョ副官,マッ……チョォ……！,肌……肉……！
161,ポポル皇子,マジかよ！？<br>さすがはマッチョ……,真的假的！？<br>真不愧是肌肉兄贵……
162,トモイ/托莫伊,ここは俺が食い止めるわ。<br>すぐ追いつくからよ。,我来挡住他。<br>马上就追上你的。
163,ポポル皇子,トモちゃん……<br>っきしょー……絶対だかんな！<br>待ってるぜ！,托莫伊……<br>混蛋——……别食言啊！<br>我等你来啊！
164,,<span class='scene-font-katari'>腹心の部下の力を借り、</span><br><span class='scene-font-katari'>ポポル皇子は駆けだす。</span><br><span class='scene-font-katari'>向かうは愛するマキリのもと──</span>,<span class='scene-font-katari'>多亏了心腹的付出，</span><br><span class='scene-font-katari'>Popola皇子一路前进。</span><br><span class='scene-font-katari'>向着心爱的Makiri的身边──</span>
170,ローアイン/罗艾因,って感じでマキぴんとこまで<br>マッハで突っ走ってって<br>めでたし的なシメでＤｏッスか？,之后就这个感觉，然后皇子飞速赶到了Makiri身边<br>来个Happy ending怎么样？
171,,<span class='scene-font-katari'>ローアイン達の考えるネームを</span><br><span class='scene-font-katari'>ひと通り聞き終えた</span><br><span class='scene-font-katari'>ルナールはあんぐりと口を開けていた。</span>,<span class='scene-font-katari'>罗艾因等人想出的剧本</span><br><span class='scene-font-katari'>全部听完后</span><br><span class='scene-font-katari'>露娜露惊得都合不上嘴。</span>
172,ルナール/露娜露,国とか戦争とか民衆とか身分とか、<br>いろんな要素が絡み合っているのが<br>このポポル・サーガなんだけど……,国家，战争，人们还是自己的身份这些要素<br>交织在一起谱写出的才是《Popola Saga》这部剧的精髓……
173,ルナール/露娜露,全部放り投げてないかしら！？,这不全抛弃了吗！？
174,エルセム/艾尔塞姆,でも最後は力業って感じの方が<br>盛り上がるよなー？,但最后的欧拉，<br>不是很能带动气氛嘛？
175,トモイ/托莫伊,な。<br>細けぇことは気にすんなって感じで<br>バイブス熱めにいけばそれなりだべ。,是吧。<br>不要在意这些细节<br>把气氛炒热了不也不错嘛。
176,ルナール/露娜露,いや、言いたいことは他にもあるのよ！<br>ゴリジンってなに！？　マッチョって！？,不是，我还没说完哦！<br>猩大臣和肌肉兄贵都是什么鬼！？
177,ローアイン/罗艾因,許せねぇマッチョがいるんスよ、<br>俺らには。<br>まぁ……ゴリジンは……ノリ？,因为有个和我们不对眼的肌肉兄贵啦，<br>至于猩大臣，大概是顺便？
178,ローアイン/罗艾因,ま、でも、確かに？<br>もうちょいカタルシスあった方が<br>いいかもしんねーな、これ……,不过，确实？<br>这确实不太文雅<br>有没有有更好的想法……
179,エルセム/艾尔塞姆,う〜ん、もうちょい詰める？<br>つってもどうすんのがいいんかな〜,嗯，要不编下去？<br>但是怎么编呢~
180,トモイ/托莫伊,……合体じゃね？,……那就是合体了吧？
181,タイアー/泰亚,合体？<br>トモイ殿、それは一体……？,合体？托莫伊，在说什么……？
182,エルセム/艾尔塞姆,ちょ待てよ、トモちゃん……<br>合体ってそれ……,等等哦，托莫伊……<br>合体怎么说也……
183,ローアイン/罗艾因,かなり盛り上がるヤツじゃね！？,但是能燃起来吧！？
192,ポポル皇子,っべー……<br>戦場、激混みすぎてテンサゲだわ……<br>マキぴ、どこにいんのよ？,靠……<br>战场太混乱了……<br>Makiri到底在哪里啊？
193,,<span class='scene-font-katari'>城を抜け出したポポル皇子が</span><br><span class='scene-font-katari'>戦場の中にマキリの姿を見つけようと</span><br><span class='scene-font-katari'>目を凝らしていたところ──</span>,<span class='scene-font-katari'>从城中出来的Popola皇子</span><br><span class='scene-font-katari'>为了寻找战场中Makiri的身影</span><br><span class='scene-font-katari'>定睛凝视的时候──</span>
195,２人,<span class='scene-font-4'>皇子ー！</span>,<span class='scene-font-4'>皇子ー！</span>
196,ポポル皇子,エルっち！　トモちゃん！<br>ははっ！　無事だったか～！,艾尔塞姆！　托莫伊！<br>哈哈！　平安无事啊～！
197,エルセム/艾尔塞姆,ったりめーだろ！<br>勝手に殺すなっつーの！<br>ゴリラに負けるとかマジねーから！,这肯定的！<br>别小瞧我了！<br>不过是只猩猩怎么可能输！
198,トモイ/托莫伊,マッチョも大したことなかったべ。<br>んで、皇子はなにしてる系？,肌肉兄贵也不过如此。<br>皇子你在干什么呢？
199,ポポル皇子,いや、こっからマキぴ探せば<br>ワンチャン見つかんねーかなって……,不是，从这里看的话，Makiri有点难找。
200,,<span class='scene-font-katari'>だが振り返ったローアインは</span><br><span class='scene-font-katari'>そこにいる人物を目にし、息をのんだ。</span>,<span class='scene-font-katari'>回过头，罗艾因</span><br><span class='scene-font-katari'>视线集中到了某处，咽了口唾沫。</span>
201,ゴリジン,行かせは……せん……ッ！,给我停下……停下……！
202,マッチョ副官,ポポル皇子……！<br>ここで貴様を……殺してくれる……！,Popola皇子……！<br>我今天要……杀了你……！
203,,<span class='scene-font-katari'>エルセムとトモイにやられたはずの</span><br><span class='scene-font-katari'>ゴリラ大臣とマッチョ副官が</span><br><span class='scene-font-katari'>またしても目の前に現れたのだ。</span>,<span class='scene-font-katari'>本该被艾尔塞姆和托莫伊打倒的</span><br><span class='scene-font-katari'>猩大臣和肌肉兄贵</span><br><span class='scene-font-katari'>又再次出现在了眼前。</span>
204,ポポル皇子,ちょ、マジしつけーし……<br>もう勝負ついたべ！<br>こっちケツカッチンなんだわ！,喂，烦死了……<br>都输了！还追过来做什么！
205,副官直属の兵士,バカが！<br>こっちには奥の手がある！<br>副官、お願いします！,蠢货！<br>我还有杀招！<br>副官，拜托了！
209,マッチョ副官,マッ……チョオオォォォォ……！,肌……肉……！
217,ゴリジン,ンッホオオオォォォォ…………！,嗯吼……！
222,エルセム/艾尔塞姆,おいおいおいおい……<br>なんかライティングおかしくね？,喂喂喂喂……<br>这灯光不对啊？
223,トモイ/托莫伊,なんかわかんねーけど、<br>“高まってる”感じすっぞ……,虽然不清楚，<br>感觉战斗高潮要来了……
224,副官直属の兵士,ふははははっ！<br>大臣は我々の仲間だったのさ！,哈哈哈哈！<br>大臣是我们一伙的！
225,副官直属の兵士,そして、ポポル皇子！<br>貴様を殺害するため、<br>おふたりは秘術を使うことにしたのだ！,Popola皇子！<br>为了歼灭你，这俩人使出了秘传绝技！
226,ポポル皇子,んだとッ？,什么？
242,？？？,<span class='scene-font-4'>グホオォォォォッ！！</span>,<span class='scene-font-4'>啊啊啊啊！！</span>
243,ポポル皇子,マジかよ……！？　合体しただと！！,啥玩意儿……？居然合体了！！
244,副官直属の兵士,<span class='scene-font-4'>くははははっ！</span><br>究極生命体ゴリマッチョ様が<br>御降誕された！,<span class='scene-font-4'>哈哈哈哈哈！</span><br>究极生命体肌肉大猩猩（译注：卡兹）<br>于此地降临！
245,副官直属の兵士,秘術「ネタ・マゼノッケ」により、<br>もはやなんでもアリに<br>なったのだああぁぁーーッ！！,秘术“neta大融合”，一切皆为合理！
246,副官直属の兵士,ゴリマッチョ様、お願いします！<br>どうかポポル皇子を亡き者に！<br>そして我々をお導きください！！,肌肉大猩猩大人，来吧！<br>消灭Popola皇子<br>带领我们前进吧！
250,ゴリマッチョ,<span class='scene-font-4'>ゴリマッチョオオォォッッ！！</span>,<span class='scene-font-4'>GoriMacho！！</span>
251,トモイ/托莫伊,クソが……絶対的に不利だけど<br>男の子的にはアツい展開じゃねーか……,混蛋……很不利啊<br>但是男子汉的热血在沸腾啊……
252,ポポル皇子,いや、あいつら俄然ちょづいてっけど<br>これガチめにチャンスじゃね？<br>一石二鳥っつーか！,不是，看似不妙<br>可这不正是一箭双雕的好机会吗！
253,エルセム/艾尔塞姆,あー……たかし。<br>片づける相手がまとまってくれた的な？<br>こりゃ手間が省けるわ。,是的……<br>也好你们一起上，我赶时间。
254,ポポル皇子,いくぜ……<br>ハッピーエンドは目の前だ！！,上了……<br>Happy End就在眼前了！
256,３人,<span class='scene-font-4'>イェア！</span>,<span class='scene-font-4'>Yeah！</span>
info,,,scene_evt190331_cp3_q4_s20
