path,text,trans,count
/user/content/index,"カジノを遊ぶためには<br>
メインクエスト第8章「鉄の巨人」<br>
をクリアする必要があります。",前往赌场需要通关<br>主线任务第8章「铁巨人」。,
/user/content/index,武勲の輝き,武勋之辉光,
/user/content/index,デイリー,每日,
/user/content/index,ウィークリー,每周,3
/user/content/index,累計,累计,3
/user/content/index,栄誉の輝き,荣誉之辉光,
/user/content/index,騎空団ボーナス,骑空团奖励,
/user/content/index,アーカルムポイント,塔罗牌点数,
/lobby/content/room,初回消費なし,初次无消耗,3
/lobby/content/room,あと<%= can_quest_start_count %>回挑戦します（全<%= max_quest_start_count %>回）,还剩<%= can_quest_start_count %>回挑战（一共<%= max_quest_start_count %>回）,
/lobby/content/room,このクエストに挑戦します。,准备挑战这个任务,2
/lobby/content/room,マルチバトルの難易度を選択してください,请选择多人战的难度级别,
/lobby/content/room,イベントを選択してください,请选择一个活动副本,
/lobby/content/room,サポーターを選択してください。,请选择支援召唤石,3
/lobby/content/room,サポーターに選択できるメンバーがいません。,没有可供选择召唤石的成员,2
/lobby/content/room,<%= set_user.name %> Rank <%= set_user.rank %> が選択,<%= set_user.name %> Rank <%= set_user.rank %> 选择任务,2
/lobby/content/room,募集Rankやコメントを変更できます,可以更改等级限制和房间简介,
/lobby/content/room,Rank制限なし,无Rank限制,3
/lobby/content/room,ルームID,房间ID,
/lobby/content/room,募集リスト,募集列表,
/lobby/content/room,掲載しない,隐藏,
/lobby/content/room,掲載する,显示,
/lobby/content/room,ボタンを押すとすぐに反映されます,按下按钮后会立即生效,
/lobby/content/room,メンバーが定員に達しているため掲載できません,房间已满，无法显示到募集列表,
/lobby/content/room,LINEに投稿する,发布到LINE,
/lobby/content/room,Twitterに投稿する,发布到Twitter,
/lobby/content/room_alter,ルーム情報の変更,更改房间信息,
/lobby/content/room_alter,マルチバトルで募集する仲間の条件と、<br>コメント(24文字以内)を入力してください。,请选择招募队友的条件<br>此外你还可以输入一段房间简介(24字以内)。,
/lobby/content/room_alter,入力した内容でマルチバトルの仲間を募集します。,根据输入的内容来招募多人战队友,
/lobby/content/room_alter,マルチバトル選択,多人战选择,
/lobby/content/room_alter,※NORMALのルームではHIGH LEVELの<br>クエストは選べません。HIGH LEVELのルームでは<br>HIGH LEVEL以外のクエストは選べません。,※在NORMAL房间里无法选择<br>HIGH LEVEL任务。在HIGH LEVEL房间里<br>无法选择HIGH LEVEL以外的任务,
/lobby/content/room_alter,募集Rank,募集Rank,
/lobby/content/room_alter,制限なし,无限制,3
/lobby/content/room_alter,誰でもOK,谁都可以,2
/lobby/content/room_alter,フレンド限定,好友限定,2
/lobby/content/room_alter,騎空団員限定,骑空团员限定,2
/lobby/content/room_alter,連続クエスト設定,连续战斗设定,2
/lobby/content/room_alter,設定なし,未设定,2
/lobby/content/room_alter,参戦人数,参战人数,
/lobby/content/room_alter,人までのマルチバトル,人的多人战斗,11
/lobby/content/room_alter,※ルーム作成後は参戦人数を減らせません。,※房间创建后无法降低参战人数,2
/lobby/content/room_alter,バトル開始承認,开始战斗的确认,
/lobby/content/room_alter,承認あり,需要确认,2
/lobby/content/room_alter,承認なし,不用确认,2
/lobby/content/room_alter,コメント,描述,
/lobby/content/room_alter,24文字以内で入力してください。,请输入24字以内的简介,
/lobby/content/room_alter,募集の投稿・掲載,募集的投稿・发布,
/coopraid/content/offer,ルームIDを入力、または、募集リストから<br>参加したい募集を選択してください。,请输入房间ID或者从募集列表里<br>选择你想要加入的房间。,
/coopraid/content/offer,ルームID入力,输入房间ID,
/coopraid/content/offer,ルームIDを入力してルームに参加します。,输入房间ID即可加入。,
/coopraid/content/offer,IDは大文字と小文字を区別しません。,ID的字母不用区分大小写。,
/coopraid/content/offer,参加する,参加,
/coopraid/content/offer,募集リスト,募集列表,
/coopraid/content/offer,募集数 <span class='txt-count'></span>件,房间数 <span class='txt-count'></span>,
/coopraid/content/offer,共闘TOP,共斗TOP,
/coopraid/content/offer,誰でもOK,谁都可以,2
/coopraid/content/offer,デイリーミッション,每日任务,2
/coopraid/content/offer,自分のフレンドの募集,来自好友的募集,2
/coopraid/content/offer,同じ騎空団員の募集,来自骑空团的募集,2
/coopraid/content/offer,パンデモニウム,万魔殿,2
/coopraid/content/offer,ドロップ狙い,掉落为主,2
/coopraid/content/offer,条件に一致する募集がありません。,没有符合条件的房间。,
/coopraid/content/offer,残り <%= remaining_time %>分,还剩 <%= remaining_time %>分种,3
/coopraid/content/offer,クエスト設定者がバトルを開始すると<br>ルームメンバーも自動的にバトルに参戦します,当任务设定者开始战斗时，房间成员自动加入战斗,2
/coopraid/content/offer,この募集に参加します。,加入这个房间,2
/coopraid/content/offer,参加条件を満たしていないため、<br>参加できません。,因不满足加入的条件<br>无法加入房间,2
/coopraid/content/offer,マルチバトル難易度,副本难度,
/coopraid/content/offer,募集対象,募集对象,
/coopraid/content/offer,フレンド限定,好友限定,
/coopraid/content/offer,騎空団員限定,骑空団员限定,
/coopraid/content/offer,連続クエスト設定,连续战斗设定,
/coopraid/content/offer,連続設定あり,有连续设定,
/coopraid/content/offer,連続設定なし,无连续设定,
/coopraid/content/offer,参戦人数,参战人数,
/coopraid/content/offer,30人まで,最多30人,
/coopraid/content/offer,18人まで,最多18人,
/coopraid/content/offer,6人まで,最多6人,
/coopraid/content/offer,開始前に全員がトレジャーとAPを消費して、<br>メンバーの数だけクエストを行います,开始前所有人都会消耗AP和门票，<br>任务进行次数为房间总人数,
/coopraid/content/offer,バトル開始承認,开始战斗的确认,
/coopraid/content/offer,承認あり,需要确认,
/coopraid/content/offer,承認なし,不用确认,
